page,n_orden,provincia_canon,departamento_canon,localidad_canon,footnote,total,georef_id,nombre_oficial,georef_depto,lat,lon,estado,tier,criterio_deteccion,criterio_aceptacion,en_muestra,decidido_por,fecha,confianza,fuente,fuente_url,verificado_geo,nota
v3_p01,359,Buenos Aires,Monte,Abbott,,865,06547010,Abbott,Monte,-35.2825062106661,-58.8042619084922,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,396,La Pampa,Hucal,Abramo,,747,42077010,Abramo,Hucal,-37.8965474069378,-63.8504184397164,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,299,Buenos Aires,Pergamino,Acevedo,,1148,06623010,Acevedo,Pergamino,-33.75282198809,-60.4407030706623,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,446,Buenos Aires,Alberti,Achupallas,,638,06021050,Achupallas,Alberti,-35.1099832760929,-60.0702952268873,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,659,Buenos Aires,Chascomús,Adela,,336,06218070,Adela,Chascomús,-35.6838826714468,-57.9540988609169,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,89,Buenos Aires,Adolfo Alsina,Adolfo Alsina,,6183,06007010,Carhué,,-37.179441526348,-62.760041120204,propuesto,C1-cabecera,cabecera_documentada,humano_lote,no,pendiente:Jose,2026-07-22,alta,web+georef,https://es.wikipedia.org/wiki/Partido_de_Adolfo_Alsina,verde,el censo 1960 listo la cabecera con el nombre del depto. cabecera
v3_p01,491,La Pampa,Realicó,Adolfo Van Praet,,558,42133010,Adolfo Van Praet,Realicó,-35.0166598839877,-64.0353328853315,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,737,Buenos Aires,Mercedes,Agote,,260,,Agote,,-34.6441,-59.3551,propuesto,C5-manual_coord,web_manual_coord,humano_lote,no,pendiente:Jose,2026-07-22,verde (guard: coord en depto esperado),Wikipedia (Agote),https://es.wikipedia.org/wiki/Agote_(Buenos_Aires),verde,[guard=verde; punto en Mercedes] Localidad surgida en torno a la estación Agote (FC San Martín); partido de Mercedes.
v3_p01,313,Buenos Aires,Junín,Agustina,,1079,06413010,Agustina,Junín,-34.4582726791436,-61.0688753867702,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,264,Buenos Aires,Junín,Agustín Roca,,1361,06413030,Agustí­n Roca,Junín,-34.5073536019499,-60.8645295130111,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,577,La Pampa,Maracó,Agustoni,,418,42105010,Agustoni,Maracó,-35.782134713243,-63.3915547536784,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,702,Buenos Aires,Pehuajó,Alagón,,289,06609A01,Alagón,Pehuajó,-35.94509319585,-61.9688525107017,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,807,Buenos Aires,Pehuajó,Albariño,,202,06609A02,Albariño,Pehuajó,-36.0480222220381,-62.1234671895864,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,99,Buenos Aires,Alberti,Alberti,,5322,06021010,Alberti,Alberti,-35.0315781364413,-60.2802968721172,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,459,Buenos Aires,Bahía Blanca,Aldea Romana,,616,,Aldea Romana (Bahía Blanca),,-38.6825,-62.2135,propuesto,C5-barrio_de,web_barrio,humano_lote,no,pendiente:Jose,2026-07-22,verde (guard: coord en depto esperado),OSM Nominatim,https://nominatim.openstreetmap.org/,verde,"[guard=verde; punto en Bahía Blanca] Actualmente barrio de la ciudad de Bahía Blanca (Cuartel II), partido de Bahía Blanca."
v3_p01,825,Buenos Aires,General Paz,Alegre,,188,06343A00,Alegre,General Paz,-35.4542736846659,-58.2667754127794,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,808,Buenos Aires,Bahía Blanca,Alférez de San Martín,,202,06056A00,Alférez San Martín,Bahía Blanca,-38.6322534697841,-62.5283465245574,propuesto,E-bahra-fuzzy,bahra_fuzzy,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,antes era sin_match. candidatos: Alférez San Martín/Bahía Blanca [06056A00]
v3_p01,271,Buenos Aires,Villarino,Algarrobo,,1317,06875A05,Chosoico Algarrobo,Villarino,-38.742375827627,-63.1064899408672,propuesto,E-bahra-fuzzy,bahra_fuzzy,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,antes era sin_match. candidatos: Chosoico Algarrobo/Villarino [06875A05]; El Algarrobo/Villarino [06875A13]
v3_p01,775,La Pampa,Chical-Có,Algarrobo del Águila,,228,42063010,Algarrobo del Águila,Chical Co,-36.3980716241504,-67.1444547482128,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,14,Buenos Aires,Almirante Brown,Almirante Brown,1,136924,06028010,Almirante Brown,Almirante Brown,-34.8354386860517,-58.3743891773161,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,176,La Pampa,Guatraché,Alpachiri,,2414,42070010,Alpachiri,Guatraché,-37.3768674386048,-63.7731776809478,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
