page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v4_p19,48,Villa Diego,barrio_de,"Villa Diego (barrio/localidad de Villa Gobernador Gálvez)",-33.0231,-60.6252,Wikipedia (Estación Villa Diego),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Villa_Diego,"Villa Diego es hoy parte de Villa Gobernador Gálvez, depto Rosario; coordenada de la estación homónima."
v4_p04,127,Colonia Ella,rename,Malabrigo,-29.3486,-59.9694,Wikipedia (Malabrigo),https://es.wikipedia.org/wiki/Malabrigo_(Argentina),"Colonia Ella fue renombrada Malabrigo por ley 5.700 en 1964; depto General Obligado."
v3_p04,173,Carlos Pellegrini,rename,Pellegrini (cabecera del partido de Pellegrini),-36.2682,-63.1646,Wikipedia / OSM Nominatim,https://es.wikipedia.org/wiki/Pellegrini_(Buenos_Aires),"La localidad censal 'Carlos Pellegrini' es la ciudad cabecera Pellegrini; coordenada OSM confirmada dentro del partido de Pellegrini."
v6_p05,43,Misión San Fco. de Laishí,manual_coord,San Francisco de Laishí,-26.2465,-58.6312,Wikipedia (San Francisco de Laishí),https://es.wikipedia.org/wiki/San_Francisco_de_Laish%C3%AD,"Mismo lugar; municipio Misión San Francisco de Laishí, cabecera del depto Laishí."
v3_p12,222,La Dulce,rename,Nicanor Olivera (La Dulce),-38.3008,-59.3808,Wikipedia (La Dulce),https://es.wikipedia.org/wiki/La_Dulce,"Nombre oficial Nicanor Olivera, conocida como La Dulce; depto Necochea. Coord 38°18'03''S 59°22'51''O."
v3_p19,241,Sánchez,rename,Villa General Savio,-33.4350,-60.1460,Wikipedia (Villa General Savio),https://en.wikipedia.org/wiki/Villa_General_Savio,"Estación/localidad Sánchez renombrada Villa General Savio en 1967; partido de Ramallo."
v7_p11,113,Villa Bustos,rename,Villa Sanagasta,-29.267,-67.017,Wikipedia (Villa Sanagasta),https://es.wikipedia.org/wiki/Villa_Sanagasta,"Villa Sanagasta, anteriormente conocida como Villa Bustos; cabecera del depto Sanagasta."
v4_p06,365,Dalmacio Vélez Sarsfield,manual_coord,Dalmacio Vélez (Sársfield),-32.6100,-63.5769,Wikipedia (Dalmacio Vélez Sarsfield),https://es.wikipedia.org/wiki/Dalmacio_V%C3%A9lez_Sarsfield_(C%C3%B3rdoba),"Mismo lugar; depto Tercero Arriba. Coord 32°36'36''S 63°34'37''O."
v4_p17,402,Sebastián el Cano,rename,Sebastián Elcano,-30.1611,-63.5897,Wikipedia (Sebastián Elcano),https://es.wikipedia.org/wiki/Sebasti%C3%A1n_Elcano_(C%C3%B3rdoba),"Grafía moderna Sebastián Elcano; depto Río Seco. Coord 30°09'40''S 63°35'23''O."
v4_p12,447,Mariano Saavedra,rename,San Mariano (Estación Mariano Saavedra),-31.6684,-61.3475,Wikipedia (San Mariano),https://es.wikipedia.org/wiki/San_Mariano_(Santa_Fe),"La estación Mariano Saavedra está en la localidad de San Mariano; depto Las Colonias."
v3_p18,390,Río Colorado,rename,La Adela,-38.9854,-64.0907,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=La+Adela,+Caleu+Caleu,+La+Pampa,+Argentina","El poblado del lado La Pampa (ex 'Río Colorado-La Pampa') es la actual La Adela, cabecera de Caleu Caleu; Río Colorado ciudad está enfrente, en Río Negro (homónimo)."
v3_p12,418,Juan J. Almeyra,rename,José Juan Almeyra,-34.917,-59.567,Wikipedia / citypopulation,https://en.wikipedia.org/wiki/Jos%C3%A9_Juan_Almeyra,"Grafía moderna José Juan Almeyra (J.J. Almeyra); partido de Navarro."
v5_p08,196,Villa San Marcial (Gob. Urquiza),manual_coord,Villa San Marcial (Estación Gobernador Urquiza),-32.1667,-58.9333,Wikipedia (Villa San Marcial),https://es.wikipedia.org/wiki/Villa_San_Marcial,"Mismo lugar; distrito Moscas, depto Uruguay. La estación se llama Gobernador Urquiza."
v4_p08,567,Kilómetro 711,rename,Malvinas Argentinas (Córdoba),-31.3792,-64.0539,Wikipedia (Malvinas Argentinas, Córdoba),https://es.wikipedia.org/wiki/Malvinas_Argentinas_(C%C3%B3rdoba),"'Estación km 711' fue renombrada Malvinas Argentinas en 1983; depto Colón, 14 km al este de Córdoba capital."
v6_p02,167,Esteros,sin_coordenada,,,,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Esteros,+Santiago+del+Estero,+Argentina","No se ubica un 'Esteros' en depto Figueroa. Homónimos: pista apunta a depto Capital [86049110] y OSM sólo halla 'Esteros' en depto Alberdi (-26.63,-63.66); ambos lejos. Sin coordenada confiable."
v7_p10,277,Senador Péres,manual_coord,Estación Senador Pérez (Uquía),-23.3046,-65.3574,Wikipedia (Estación Senador Pérez / Uquía),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Senador_P%C3%A9rez,"La estación Senador Pérez está en la localidad de Uquía, depto Humahuaca; coordenada de Uquía."
v7_p03,293,Dr. Facundo Zuviría,manual_coord,Facundo Zuviría (El Carril),-25.0709,-65.4935,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Facundo+Zuviria,+Salta,+Argentina","Paraje/estación Facundo de Zuviría en El Carril, depto Chicoana (se descarta el homónimo Facundo Zuviría en Gral. San Martín)."
v6_p05,209,Pampa Florida,manual_coord,Pampa Florida,-26.5630,-60.3912,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Pampa+Florida,+Chaco,+Argentina","Paraje en Municipio de Tres Isletas, depto Maipú, Chaco."
v3_p08,696,Fuerte Argentino,manual_coord,Fuerte Argentino,-38.2117,-62.4206,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Fuerte+Argentino,+Tornquist,+Buenos+Aires,+Argentina","Paraje sobre el río Sauce Chico, partido de Tornquist (Cuartel III)."
v3_p01,737,Agote,manual_coord,Agote,-34.6441,-59.3551,Wikipedia (Agote),https://es.wikipedia.org/wiki/Agote_(Buenos_Aires),"Localidad surgida en torno a la estación Agote (FC San Martín); partido de Mercedes."
v4_p05,716,Chuchiras,manual_coord,Chuchiras,-31.9762,-65.0932,derutasymapas / mapas,https://www.derutasymapas.com.ar/Cordoba/Chuchiras/,"Paraje próximo a Villa Las Rosas, depto San Javier. Coord 31°59'S 65°06'O."
v3_p03,827,Bonifacio,rename,Laguna Alsina (Bonifacio),-36.8075,-62.2479,Wikipedia (Estación Bonifacio) / OSM,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Bonifacio,"La estación Bonifacio está en la localidad de Laguna Alsina, partido de Guaminí; comúnmente aún llamada Bonifacio."
