provincia,departamento_crudo,departamento_canonico,clave_norm,status,motivo
Buenos Aires,Monte,Monte,MONTE,unico,
Buenos Aires,Pergamino,Pergamino,PERGAMINO,unico,
Buenos Aires,Alberti,Alberti,ALBERTI,unico,
Buenos Aires,Chascomús,Chascomús,CHASCOMUS,unico,
Buenos Aires,Adolfo Alsina,Adolfo Alsina,ADOLFOALSINA,unico,
Buenos Aires,Mercedes,Mercedes,MERCEDES,unico,
Buenos Aires,Junín,Junín,JUNIN,unico,
Buenos Aires,Pehuajó,Pehuajó,PEHUAJO,unico,
Buenos Aires,Bahía Blanca,Bahía Blanca,BAHIABLANCA,unico,
Buenos Aires,General Paz,General Paz,GENERALPAZ,unico,
Buenos Aires,Villarino,Villarino,VILLARINO,unico,
Buenos Aires,Almirante Brown,Almirante Brown,ALMIRANTEBROWN,unico,
Buenos Aires,Baradero,Baradero,BARADERO,unico,
Buenos Aires,Brandsen,Brandsen,BRANDSEN,unico,
Buenos Aires,Saavedra,Saavedra,SAAVEDRA,unico,
Buenos Aires,Tapalqué,Tapalqué,TAPALQUE,unico,
Buenos Aires,Saladillo,Saladillo,SALADILLO,unico,
Buenos Aires,Magdalena,Magdalena,MAGDALENA,unico,
Buenos Aires,9 de Julio,9 de Julio,9DEJULIO,unico,
Buenos Aires,General Pinto,General Pinto,GENERALPINTO,unico,
Buenos Aires,Navarro,Navarro,NAVARRO,unico,
Buenos Aires,Caseros,Caseros,CASEROS,unico,
Buenos Aires,25 de Mayo,25 de Mayo,25DEMAYO,unico,
Buenos Aires,Lobos,Lobos,LOBOS,unico,
Buenos Aires,Coronel Dorrego,Coronel Dorrego,CORONELDORREGO,unico,
Buenos Aires,Lincoln,Lincoln,LINCOLN,unico,
Buenos Aires,Azul,Azul,AZUL,unico,
Buenos Aires,Bartolomé Mitre,Bartolomé Mitre,BARTOLOMEMITRE,unico,
Buenos Aires,General Arenales,General Arenales,GENERALARENALES,unico,
Buenos Aires,Exaltación de la Cruz,Exaltación de la Cruz,EXALTACIONDELACRUZ,unico,
Buenos Aires,Salto,Salto,SALTO,unico,
Buenos Aires,Guaminí,Guaminí,GUAMINI,unico,
Buenos Aires,Bragado,Bragado,BRAGADO,unico,
Buenos Aires,Zárate,Zárate,ZARATE,unico,
Buenos Aires,Avellaneda,Avellaneda,AVELLANEDA,unico,
Buenos Aires,Ayacucho,Ayacucho,AYACUCHO,unico,
Buenos Aires,San Andrés de Giles,San Andrés de Giles,SANANDRESDEGILES,unico,
Buenos Aires,Puán,Puán,PUAN,unico,
Buenos Aires,Tandil,Tandil,TANDIL,unico,
Buenos Aires,Patagones,Patagones,PATAGONES,unico,
