provincia_cruda,provincia_canonica,clave_norm,provincia_georef,id_georef,estado_georef,nota_georef
Buenos Aires,Buenos Aires,BUENOSAIRES,Buenos Aires,06,ok,
Catamarca,Catamarca,CATAMARCA,Catamarca,10,ok,
Chaco,Chaco,CHACO,Chaco,22,ok,
Chubut,Chubut,CHUBUT,Chubut,26,ok,
Corrientes,Corrientes,CORRIENTES,Corrientes,18,ok,
Córdoba,Córdoba,CORDOBA,Córdoba,14,ok,
Entre Ríos,Entre Ríos,ENTRERIOS,Entre Ríos,30,ok,
Formosa,Formosa,FORMOSA,Formosa,34,ok,
Jujuy,Jujuy,JUJUY,Jujuy,38,ok,
La Pampa,La Pampa,LAPAMPA,La Pampa,42,ok,
La Rioja,La Rioja,LARIOJA,La Rioja,46,ok,
Mendoza,Mendoza,MENDOZA,Mendoza,50,ok,
Misiones,Misiones,MISIONES,Misiones,54,ok,
Neuquén,Neuquén,NEUQUEN,Neuquén,58,ok,
Río Negro,Río Negro,RIONEGRO,Río Negro,62,ok,
Salta,Salta,SALTA,Salta,66,ok,
San Juan,San Juan,SANJUAN,San Juan,70,ok,
San Luis,San Luis,SANLUIS,San Luis,74,ok,
Santa Cruz,Santa Cruz,SANTACRUZ,Santa Cruz,78,ok,
Santa Fe,Santa Fe,SANTAFE,Santa Fe,82,ok,
Santiago del Estero,Santiago del Estero,SANTIAGODELESTERO,Santiago del Estero,86,ok,
Tierra del Fuego,Tierra del Fuego,TIERRADELFUEGO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",94,confirmado_humano,Georef usa nombre largo; 1960 Territorio Nacional -> provincia 1990; conf. Jose (plan 2026-07-15)
Tucumán,Tucumán,TUCUMAN,Tucumán,90,ok,
