page,n_orden,localidad,provincia,depto_1960,poblacion,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,verificado_geo,depto_del_punto,nota
v4_p14,23,Reinaldo Cullen,Santa Fe,La Capital,11881,sin_coordenada,,,,wikipedia,https://es.wikipedia.org/wiki/Departamento_La_Capital_(Santa_Fe),sin_coord,,"No figura ninguna localidad, comuna ni estacion 'Reinaldo Cullen' en el depto La Capital actual ni en OSM/Georef; pob 1960=11881 sugiere distrito o nombre antiguo absorbido por el aglomerado Santa Fe. Sin coordenada confiable; verificar en fuentes historicas."
v4_p13,30,Posta de San Martín,Santa Fe,Rosario,10152,sin_coordenada,,,,,,sin_coord,,"Sin match confiable en Rosario; pob 10152 sugiere distrito/barrio de la ciudad de Rosario, no localizable como localidad puntual. No confundir con Posta del Rosario de los Arroyos (plazoleta)."
v4_p08,34,Jobson,Santa Fe,Vera,9754,rename,Vera,-29.4667,-60.2167,Wikipedia,https://es.wikipedia.org/wiki/Vera_(Santa_Fe),verde,Vera,Jobson fue uno de los nombres previos de la actual ciudad de Vera (La Curva/Jobson/Jobson Vera/Gobernador Vera/Vera). Pob 9754 coincide con la ciudad cabecera.
v3_p18,76,Quequén,Buenos Aires,Lobería,7589,manual_coord,Quequén,-38.5553,-58.7162,Wikipedia,https://es.wikipedia.org/wiki/Quequ%C3%A9n,rojo,Necochea,"Localidad portuaria; perteneció al partido de Lobería hasta 1979, hoy en Necochea, partido limítrofe de Lobería"
v8_p05,21,Villa Krause,San Juan,Rawson,7311,manual_coord,Villa Krause (cabecera del depto Rawson),-31.5811,-68.5428,Wikipedia,https://es.wikipedia.org/wiki/Departamento_Rawson_(San_Juan),verde,Rawson,"Villa Krause es la ciudad cabecera del depto Rawson, hoy conurbada al Gran San Juan; conserva su nombre"
v7_p11,20,Villa Alberdi,Tucumán,Río Chico,7266,rename,Juan Bautista Alberdi,-27.5861,-65.6197,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi_(Tucum%C3%A1n),verde,Juan Bautista Alberdi,"Ciudad denominada originalmente Villa Alberdi; hoy Juan Bautista Alberdi, cabecera del depto homonimo (depto 1960 Rio Chico)"
v4_p19,48,Villa Diego,Santa Fe,Rosario,6852,barrio_de,Villa Diego (barrio/localidad de Villa Gobernador Gálvez),-33.0231,-60.6252,Wikipedia (Estación Villa Diego),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Villa_Diego,verde,Rosario,"Villa Diego es hoy parte de Villa Gobernador Gálvez, depto Rosario; coordenada de la estación homónima."
v4_p14,56,Pueblo Nuevo,Santa Fe,Rosario,6321,barrio_de,Pueblo Nuevo (barrio de Villa Gobernador Gálvez),-33.0236,-60.6353,Wikipedia (Villa Gobernador Gálvez),https://es.wikipedia.org/wiki/Villa_Gobernador_G%C3%A1lvez,verde,Rosario,"Barrio industrial surgido junto al Frigorífico Swift; hoy parte de Villa Gobernador Gálvez, depto Rosario. Coordenada = centro urbano de VGG."
v4_p08,92,Humberto 1º,Santa Fe,Castellanos,4453,rename,Humberto Primo,-30.8683,-61.3481,wikipedia,https://en.wikipedia.org/wiki/Humberto_Primo,verde,Castellanos,"Humberto 1º = Humberto Primo, comuna del depto Castellanos, Santa Fe. Coincide depto."
v8_p01,30,Bermejito,San Juan,Santa Lucía,4403,manual_coord,Bermejito,-31.5122,-68.5031,osm,"https://nominatim.openstreetmap.org/search?q=Bermejito,+Santa+Lucia,+San+Juan,+Argentina",verde,Santa Lucía,Barrio/aldea Bermejito en depto Santa Lucía (San Juan). NO es el homónimo Bermejo/Caucete de la pista.
