origen,page,n_orden,localidad,campo,valor_crudo,evidencia,recorte,estado,resuelto_por
2.0-duda,v3_p02,497,Bajo Hondo,departamento,Cnel. de Mar. L.N.Rosales,depto abreviado; lectura combinada de recortes: 'Cnel. de Mar. L.N.Rosales',,resuelto,dudas_resueltas.csv
2.0-duda,v3_p02,828,Balneario Mar de Ajó Norte,localidad,Balneario Mar de Ajó Norte,texto comprimido en letra chica; confirmar nombre exacto,,resuelto,dudas_resueltas.csv
2.0-duda,v3_p06,564,Denhny,localidad,Denhny,lectura incierta; podría ser 'Denny'/'Denhny',,resuelto,dudas_resueltas.csv
2.0-duda,v3_p08,768,Erezcano,localidad,Erezcano,última letra ambigua (o/e); inicial E confirmada por alineación de columna,,resuelto,dudas_resueltas.csv
2.0-duda,v3_p12,763,La Pastora,mujeres,,"celda 'mujeres' vacía/no impresa en la fuente (última fila de la página); total=236, varones=141 visibles",,resuelto,dudas_resueltas.csv
2.0-duda,v3_p14,598,Lia Calel,localidad,Lia Calel,primera palabra incierta (¿Lia/Lin?); depto Tres Arroyos,,resuelto,dudas_resueltas.csv
2.0-duda,v4_p05,2,Córdoba,varones,283871,celda borroneada en el escaneo; mejor lectura 283.871 (consistente con total 586.015 - mujeres 302.144); confirmar,,resuelto,dudas_resueltas.csv
2.0-duda,v4_p08,130,Irivilli,localidad,Irivilli,lectura verbatim 'Irivilli' (final incierto); grafía moderna 'Inriville' -> Georef Paso 3,,resuelto,decisiones.csv
2.0-duda,v4_p19,223,Villa Eloísa,localidad,Villa Eloísa,"impreso 'Elofsa' (la í sale como f); lectura 'Villa Eloísa' (Iriondo, Santa Fe)",,resuelto,dudas_resueltas.csv
2.0-duda,v5_p02,303,Caza Pava,localidad,Caza Pava,"nombre incierto (Santo Tomé, Corrientes); verificar",,resuelto,dudas_resueltas.csv
2.0-duda,v5_p08,254,Yofré,localidad,Yofré,"impreso parece 'Tofré' pero orden alfabético (entre Yeruá y Yuquerí) -> 'Yofré' (Y); Mercedes, Corrientes",,resuelto,dudas_resueltas.csv
2.0-duda,v7_p07,229,Miraflores,total,587,primer dígito borroso (5/9); leído 587; suma varones+mujeres (284+303) confirma 587,,resuelto,dudas_resueltas.csv
