provincia_canon,departamento_canon,tipo,depto_moderno,id_indec,fuente,fuente_url,nota
Buenos Aires,25 de Mayo,identidad,25 de Mayo,06854,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,3 de Febrero,identidad,Tres de Febrero,06840,georef,https://apis.datos.gob.ar/georef/api/departamentos,grafia numero->palabra
Buenos Aires,9 de Julio,identidad,9 de Julio,06588,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Adolfo Alsina,identidad,Adolfo Alsina,06007,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Alberti,identidad,Alberti,06021,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Almirante Brown,identidad,Almirante Brown,06028,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Avellaneda,identidad,Avellaneda,06035,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Ayacucho,identidad,Ayacucho,06042,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Azul,identidad,Azul,06049,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Bahía Blanca,identidad,Bahía Blanca,06056,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Balcarce,identidad,Balcarce,06063,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Baradero,identidad,Baradero,06070,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Bartolomé Mitre,rename,Arrecifes,06077,web,https://es.wikipedia.org/wiki/Partido_de_Arrecifes,nombre 'Bartolomé Mitre' 1901-1997
Buenos Aires,Bartolomé Mitre,split,Capitán Sarmiento,06140,web,https://es.wikipedia.org/wiki/Partido_de_Capitán_Sarmiento,Ley 6485 (1961); padre = Arrecifes/Bartolomé Mitre
Buenos Aires,Berisso,identidad,Berisso,06098,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Bolívar,identidad,Bolívar,06105,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Bragado,identidad,Bragado,06112,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Brandsen,identidad,Brandsen,06119,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Campana,identidad,Campana,06126,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Carlos Casares,identidad,Carlos Casares,06147,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Carlos Tejedor,identidad,Carlos Tejedor,06154,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Carmen de Areco,identidad,Carmen de Areco,06161,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Caseros,rename,Daireaux,06231,web,https://es.wikipedia.org/wiki/Partido_de_Daireaux,Ley prov. 7613/1970
Buenos Aires,Castelli,identidad,Castelli,06168,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Cañuelas,identidad,Cañuelas,06134,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Chacabuco,identidad,Chacabuco,06210,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Chascomús,identidad,Chascomús,06218,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Chascomús,split,Lezama,06466,web,https://es.wikipedia.org/wiki/Partido_de_Lezama,Ley 14087 (2009)
Buenos Aires,Chivilcoy,identidad,Chivilcoy,06224,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Colón,identidad,Colón,06175,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Coronel Dorrego,identidad,Coronel Dorrego,06189,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Coronel Dorrego,split,Monte Hermoso,06553,web,https://es.wikipedia.org/wiki/Partido_de_Monte_Hermoso,Dec-ley 9245/79
Buenos Aires,Coronel Pringles,identidad,Coronel Pringles,06196,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Coronel Suárez,identidad,Coronel Suárez,06203,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Coronel de Marina Leonardo Rosales,identidad,Coronel de Marina Leonardo Rosales,06182,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Coronel de Marina Leonardo Rosales,split,Monte Hermoso,06553,web,https://es.wikipedia.org/wiki/Partido_de_Monte_Hermoso,Dec-ley 9245/79 (2do padre)
Buenos Aires,Dolores,identidad,Dolores,06238,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Ensenada,identidad,Ensenada,06245,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Escobar,identidad,Escobar,06252,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Esteban Echeverría,identidad,Esteban Echeverría,06260,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Esteban Echeverría,split,Presidente Perón,06648,web,https://normas.gba.gob.ar/,Ley 11480 (1993)
Buenos Aires,Esteban Echeverría,split,Ezeiza,06270,web,https://normas.gba.gob.ar/,Ley 11550 (1994): SOLO de Esteban Echeverría
Buenos Aires,Exaltación de la Cruz,identidad,Exaltación de la Cruz,06266,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Florencio Varela,identidad,Florencio Varela,06274,georef,https://apis.datos.gob.ar/georef/api/departamentos,
Buenos Aires,Florencio Varela,split,Presidente Perón,06648,web,https://normas.gba.gob.ar/,Ley 11480 (1993)
Buenos Aires,General Alvarado,identidad,General Alvarado,06280,georef,https://apis.datos.gob.ar/georef/api/departamentos,
