page,n_orden,localidad,tipo,motivo
v3_p01,14,Almirante Brown,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p02,5,Avellaneda,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p08,19,Esteban Echeverría,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p08,25,Florencio Varela,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p09,7,General San Martín,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p09,13,General Sarmiento,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p12,1,La Matanza,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p12,2,Lanús,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p14,8,Lomas de Zamora,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p15,16,Merlo,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p15,20,Moreno,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p16,3,Morón,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p18,6,Quilmes,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p19,17,San Fernando,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p19,12,San Isidro,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p21,18,Tigre,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p21,9,3 de Febrero,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
v3_p22,10,Vicente López,total_partido,"footnote (1): corresponde al total del Partido (conurbano, sin localidades internas)"
