page,n_orden,localidad_canon,provincia_georef,departamento_canon,depto_moderno_esperado,estado,georef_capa,georef_id,georef_nombre,georef_depto,lat,lon,dist_km,candidatos
v3_p01,359,Abbott,Buenos Aires,Monte,Monte,auto_ok,localidades-censales,06547010,Abbott,Monte,-35.2825062106661,-58.8042619084922,,
v3_p01,396,Abramo,La Pampa,Hucal,Hucal,auto_ok,localidades-censales,42077010,Abramo,Hucal,-37.8965474069378,-63.8504184397164,,
v3_p01,299,Acevedo,Buenos Aires,Pergamino,Pergamino,auto_ok,localidades-censales,06623010,Acevedo,Pergamino,-33.75282198809,-60.4407030706623,,
v3_p01,446,Achupallas,Buenos Aires,Alberti,Alberti,auto_ok,localidades-censales,06021050,Achupallas,Alberti,-35.1099832760929,-60.0702952268873,,
v3_p01,659,Adela,Buenos Aires,Chascomús,Chascomús | Lezama,auto_ok,localidades-censales,06218070,Adela,Chascomús,-35.6838826714468,-57.9540988609169,,
v3_p01,89,Adolfo Alsina,Buenos Aires,Adolfo Alsina,Adolfo Alsina,flag_sin_match,,,,,,,,
v3_p01,491,Adolfo Van Praet,La Pampa,Realicó,Realicó,auto_ok,localidades-censales,42133010,Adolfo Van Praet,Realicó,-35.0166598839877,-64.0353328853315,,
v3_p01,737,Agote,Buenos Aires,Mercedes,Mercedes,flag_sin_match,,,,,,,,
v3_p01,313,Agustina,Buenos Aires,Junín,Junín,auto_ok,localidades-censales,06413010,Agustina,Junín,-34.4582726791436,-61.0688753867702,,
v3_p01,264,Agustín Roca,Buenos Aires,Junín,Junín,auto_ok,localidades-censales,06413030,Agustí­n Roca,Junín,-34.5073536019499,-60.8645295130111,,
v3_p01,577,Agustoni,La Pampa,Maracó,Maracó,auto_ok,localidades-censales,42105010,Agustoni,Maracó,-35.782134713243,-63.3915547536784,,
v3_p01,702,Alagón,Buenos Aires,Pehuajó,Pehuajó,flag_bahra,asentamientos,06609A01,Alagón,Pehuajó,-35.94509319585,-61.9688525107017,,Alagón/Pehuajó [06609A01]
v3_p01,807,Albariño,Buenos Aires,Pehuajó,Pehuajó,flag_bahra,asentamientos,06609A02,Albariño,Pehuajó,-36.0480222220381,-62.1234671895864,,Albariño/Pehuajó [06609A02]
v3_p01,99,Alberti,Buenos Aires,Alberti,Alberti,auto_ok,localidades-censales,06021010,Alberti,Alberti,-35.0315781364413,-60.2802968721172,,
v3_p01,459,Aldea Romana,Buenos Aires,Bahía Blanca,Bahía Blanca,flag_sin_match,,,,,,,,
v3_p01,825,Alegre,Buenos Aires,General Paz,General Paz,flag_bahra,asentamientos,06343A00,Alegre,General Paz,-35.4542736846659,-58.2667754127794,,Alegre/General Paz [06343A00]
v3_p01,808,Alférez de San Martín,Buenos Aires,Bahía Blanca,Bahía Blanca,flag_variante_bahra,asentamientos,06056A00,Alférez San Martín,Bahía Blanca,-38.6322534697841,-62.5283465245574,,Alférez San Martín/Bahía Blanca [06056A00]
v3_p01,271,Algarrobo,Buenos Aires,Villarino,Villarino,flag_variante_bahra,asentamientos,06875A05,Chosoico Algarrobo,Villarino,-38.742375827627,-63.1064899408672,,Chosoico Algarrobo/Villarino [06875A05]; El Algarrobo/Villarino [06875A13]
v3_p01,775,Algarrobo del Águila,La Pampa,Chical-Có,Chical Co,auto_ok,localidades-censales,42063010,Algarrobo del Águila,Chical Co,-36.3980716241504,-67.1444547482128,,
v3_p01,14,Almirante Brown,Buenos Aires,Almirante Brown,Almirante Brown,auto_ok,localidades-censales,06028010,Almirante Brown,Almirante Brown,-34.8354386860517,-58.3743891773161,,
v3_p01,176,Alpachiri,La Pampa,Guatraché,Guatraché,auto_ok,localidades-censales,42070010,Alpachiri,Guatraché,-37.3768674386048,-63.7731776809478,,
v3_p01,260,Alsina,Buenos Aires,Baradero,Baradero,flag_variante,,06070040,Villa Alsina,Baradero,-33.9079400599979,-59.3902618533058,,Villa Alsina/Baradero [06070040]
v3_p01,285,Alta Italia,La Pampa,Realicó,Realicó,auto_ok,localidades-censales,42133020,Alta Italia,Realicó,-35.3343919134369,-64.1170932349818,,
