page,n_orden,localidad,provincia,depto_1960,poblacion,estado_flag,tier,propuesta,tipo_resolucion,georef_id,id_no_censal,nombre_oficial,lat,lon,fuente,fuente_url,confianza,nota
v3_p21,9,3 de Febrero,Buenos Aires,3 de Febrero,263391,flag_sin_match,C-generador,Tres de Febrero,confirmar_candidato_georef,06840010,,Tres de Febrero,-34.6048497158582,-58.5609615725508,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Tres de Febrero' [digito -> numero-palabra: 3->tres]
v3_p09,13,General Sarmiento,Buenos Aires,General Sarmiento,167160,flag_sin_match,C1-cabecera,San Miguel,cabecera_del_depto,06760010,,San Miguel,-34.5438144507937,-58.712723882421,web+georef,https://es.wikipedia.org/wiki/Partido_de_General_Sarmiento,alta,el censo 1960 listo la cabecera con el nombre del depto. f(1)=total del partido. Partido DISUELTO 1994 -> San Miguel + Jose C. Paz + Malvinas Argentinas; no existe localidad 'General Sarmiento'. San Miguel fue la cabecera toda la vida del partido. DECISION de Jose: 1 punto en San Miguel (la poblacion 1960 estaba repartida sobre los 3)
v3_p20,22,San Nicolás,Buenos Aires,San Nicolás,49082,flag_variante,A (aparcado),San Nicolás de los Arroyos,confirmar_candidato_georef,06763050,,San Nicolás de los Arroyos,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v7_p02,3,Catamarca,Catamarca,Capital,45929,flag_variante,A (aparcado),San Fernando del Valle de Catamarca,confirmar_candidato_georef,10049030,,San Fernando del Valle de Catamarca,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v8_p03,8,Mercedes,San Luis,General Pedernera,35449,flag_variante,A (aparcado),Villa Mercedes,confirmar_candidato_georef,74035070,,Villa Mercedes,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p16,33,Necochea,Buenos Aires,Necochea,29319,flag_bahra,A (aparcado),Necochea,confirmar_candidato_georef,0658104001,true,Necochea,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v8_p04,9,San Martín,Mendoza,San Martín,20466,flag_bahra,D,,desambiguar,,,,,,georef,,baja,>1 candidato: San Martín/San Martín [50098100]; San Martín/San Martín [5009810002]
v4_p14,15,Río Tercero,Córdoba,Tercero Arriba,18512,flag_bahra,A (aparcado),Río Tercero,confirmar_candidato_georef,14161150,true,Río Tercero,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v3_p18,45,Puerto de la Plata,Buenos Aires,Puerto de la Plata,17338,flag_sin_match,C-especial,(coord citada),manual_coord,,,,-34.85,-57.8667,web,https://es.wikipedia.org/wiki/Puerto_de_La_Plata,media,"= 'Zona Nacional Puerto La Plata' (cod 57-120, 17.338 hab). NO es una localidad: es la zona portuaria, repartida entre Ensenada y Berisso (sin fuente que la reparta). Los 17.338 son PERSONAS del cordon Ensenada-Berisso, no infraestructura. Coord = punto del puerto (entre ambas). AMBIGUO, a confirmar"
v9_1_2_p01,5,Bariloche,Río Negro,Bariloche,15995,flag_variante,A (aparcado),San Carlos de Bariloche,confirmar_candidato_georef,62021060,,San Carlos de Bariloche,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p03,49,Bolívar,Buenos Aires,Bolívar,15750,flag_variante,A (aparcado),San Carlos de Bolívar,confirmar_candidato_georef,06105060,,San Carlos de Bolívar,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v6_p05,7,Pcia. Roque Saenz Peña,Chaco,Comandante Fernández,14381,flag_sin_match,C-generador,Presidencia Roque Sáenz Peña,confirmar_candidato_georef,22021010,,Presidencia Roque Sáenz Peña,-26.7909684280648,-60.4413051819243,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Presidencia Roque Saenz Peña' [abreviatura: Pcia.->Presidencia]
v7_p07,12,Metán,Salta,Metán,12849,flag_variante,A (aparcado),San José de Metán,confirmar_candidato_georef,66112040,,San José de Metán,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p14,23,Reinaldo Cullen,Santa Fe,La Capital,11881,flag_sin_match,C5-sin_coordenada,,sin_coordenada,,,,,,,,,"[C5 web] No figura ninguna localidad, comuna ni estacion 'Reinaldo Cullen' en el depto La Capital actual ni en OSM/Georef; pob 1960=11881 sugiere dis"
v7_p05,14,Ingenio Santa Ana,Tucumán,Río Chico,11771,flag_sin_match,C-generador,Santa Ana,confirmar_candidato_georef,90077040,,Santa Ana,-27.4743563775771,-65.6816597572553,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Santa Ana' [prefijo: se quita 'Ingenio']
v3_p03,55,Belén de Escobar,Buenos Aires,Escobar,11480,flag_bahra,A (aparcado),Belén de Escobar,confirmar_candidato_georef,0625201001,true,Belén de Escobar,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
