page,n_orden,localidad_canon,provincia_canon,departamento_canon,total,nombre_oficial,georef_depto,lat,lon,criterio_deteccion,fuente_url,veredicto_muestra
v8_p03,29,Luján,Mendoza,Luján,4418,Luján de Cuyo,Luján de Cuyo,-33.0339983971284,-68.8883741550889,bahra_georef,https://apis.datos.gob.ar/georef/api,
v8_p04,51,Russell,Mendoza,Maipú,2002,Russell,Maipú,-33.005845686362,-68.7966256471329,bahra_georef,https://apis.datos.gob.ar/georef/api,
v3_p18,261,Río Tala,Buenos Aires,San Pedro,1375,Río Tala,San Pedro,-33.7692927806971,-59.6394845323378,bahra_georef,https://apis.datos.gob.ar/georef/api,
v3_p06,353,Curumalán,Buenos Aires,Coronel Suárez,896,Curamalal,Coronel Suárez,-37.4838873061271,-62.1043498687485,bahra_georef,https://apis.datos.gob.ar/georef/api,
v5_p01,156,Acuña,Corrientes,Monte Caseros,805,Parada Acuña,Monte Caseros,-29.9084817138799,-57.9581770148793,bahra_georef,https://apis.datos.gob.ar/georef/api,
v4_p05,468,Curupaity,Santa Fe,San Cristóbal,799,Curupaytí,San Cristóbal,-30.395081960835,-61.6505272052319,bahra_georef,https://apis.datos.gob.ar/georef/api,
v4_p13,472,Pinoén,Córdoba,General Roca,783,Pincén,General Roca,-34.8380711501743,-63.9166234867021,bahra_georef,https://apis.datos.gob.ar/georef/api,
v3_p18,416,Ramón Otero,Buenos Aires,Balcarce,701,Ramos Otero,Balcarce,-37.540703547179,-58.3407015552081,bahra_georef,https://apis.datos.gob.ar/georef/api,
v7_p01,216,Acambuco,Salta,Gral. J. de San Martín,612,Acambuco,General José de San Martín,-22.1659015780915,-63.9105395487973,bahra_georef,https://apis.datos.gob.ar/georef/api,
v7_p02,223,Banda Florida,La Rioja,General Lavalle,599,Banda Florida,General Felipe Varela,-29.3058404948469,-68.2451399795853,bahra_georef,https://apis.datos.gob.ar/georef/api,
v7_p08,213,Río del Valle,Salta,Anta,575,Río del Valle,Anta,-24.6747984174126,-64.201349993083,bahra_georef,https://apis.datos.gob.ar/georef/api,
v5_p03,206,Herlitzka,Corrientes,San Luis del Palmar,527,Herlitzka,San Luis del Palmar,-27.565836697276,-58.2588843924709,bahra_georef,https://apis.datos.gob.ar/georef/api,
v3_p14,518,Lozano,Buenos Aires,General Las Heras,514,Lozano,General Las Heras,-34.8515191538889,-59.05371465746,bahra_georef,https://apis.datos.gob.ar/georef/api,
v7_p09,265,Sacrificio,Tucumán,Graneros,479,El Sacrificio,La Cocha,-27.6509621985048,-65.5736230439475,bahra_georef,https://apis.datos.gob.ar/georef/api,
v5_p06,225,Raíces,Entre Ríos,Villaguay,452,Raíces,Villaguay,-31.936272008379,-59.1468814696929,bahra_georef,https://apis.datos.gob.ar/georef/api,
v3_p07,611,Emma,Buenos Aires,General Alvear,376,Emma,General Alvear,-36.2103381863386,-60.2188056868671,bahra_georef,https://apis.datos.gob.ar/georef/api,
v3_p11,614,José Ferrari,Buenos Aires,Magdalena,373,José Ferrari,Magdalena,-35.2914221376027,-57.8616814984706,bahra_georef,https://apis.datos.gob.ar/georef/api,
v6_p06,216,San José,Santiago del Estero,Avellaneda,337,San José,Avellaneda,-28.6297601708017,-63.2153948805264,bahra_georef,https://apis.datos.gob.ar/georef/api,
v4_p14,663,Pretot Freyre,Córdoba,Río Cuarto,328,Pretot Freyre,Río Cuarto,-33.8858340298092,-64.5298700539964,bahra_georef,https://apis.datos.gob.ar/georef/api,
v4_p09,688,La Cortadera,Córdoba,San Justo,288,La Cortadera,San Justo,-31.4911739236645,-62.9133525214471,bahra_georef,https://apis.datos.gob.ar/georef/api,
v4_p03,701,Cañada de Alvarez,Córdoba,Calamuchita,262,Cañada de Álvarez,Calamuchita,-32.3636354322823,-64.5500935007778,bahra_georef,https://apis.datos.gob.ar/georef/api,
v4_p03,729,Candelaria,Córdoba,Totoral,210,Candelaria Sur,Totoral,-30.8382872038366,-63.8002135158849,bahra_georef,https://apis.datos.gob.ar/georef/api,
v4_p13,746,Piedrita Blanca,Córdoba,Minas,174,Piedrita Blanca,Minas,-30.8066779058212,-65.430452079465,bahra_georef,https://apis.datos.gob.ar/georef/api,
v3_p03,857,Baudrix,Buenos Aires,Alberti,159,Baudrix,Alberti,-35.2399237350338,-60.3024150518394,bahra_georef,https://apis.datos.gob.ar/georef/api,
v8_p02,189,Jarrilla,San Luis,La Capital,138,Jarilla,Juan Martín de Pueyrredón,-33.3992256815535,-67.0257914547147,bahra_georef,https://apis.datos.gob.ar/georef/api,
v4_p01,757,Arroyo Alvarez,Córdoba,Río Segundo,137,Arroyo de Álvarez Sur,Río Segundo,-31.5975811965671,-63.2459422910274,bahra_fuzzy,https://apis.datos.gob.ar/georef/api,
v3_p13,881,Lastra,Buenos Aires,General Lamadrid,137,Lastra,General La Madrid,-37.4105319592593,-61.2802678886442,bahra_georef,https://apis.datos.gob.ar/georef/api,
v3_p05,887,Colonia Philippson,Buenos Aires,Adolfo Alsina,129,Colonia Philippson,Adolfo Alsina,-37.3424213129412,-63.1609548541594,bahra_georef,https://apis.datos.gob.ar/georef/api,
v7_p10,419,Telaritos,Catamarca,Capayán,113,Telaritos,Capayán,-29.4744570808957,-65.6572495544608,bahra_georef,https://apis.datos.gob.ar/georef/api,
v6_p06,286,San Francisco,Santiago del Estero,Quebrachos,95,San Francisco,Quebrachos,-29.418772582077,-63.1705692929631,bahra_georef,https://apis.datos.gob.ar/georef/api,
