page,n_orden,localidad,provincia,departamento,tipo_match,motivo
v3_p01,459,Aldea Romana,Buenos Aires,Bahía Blanca,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p01,825,Alegre,Buenos Aires,General Paz,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p01,808,Alférez de San Martín,Buenos Aires,Bahía Blanca,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p01,818,Alta Vista,Buenos Aires,Saavedra,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p01,116,Ameghino,Buenos Aires,General Pinto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p02,838,Atreucó,La Pampa,Atreucó,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p02,868,Atucha,Buenos Aires,Zárate,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p02,552,Azcuénaga,Buenos Aires,San Andrés de Giles,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p02,554,Balneario Claromecó,Buenos Aires,Tres Arroyos,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p02,828,Balneario Mar de Ajó Norte,Buenos Aires,General Lavalle,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p02,245,Bartolomé Bavio,Buenos Aires,Magdalena,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p03,263,Berutti,Buenos Aires,Trenque Lauquen,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p03,855,Boeuf,La Pampa,Conhello,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p03,49,Bolívar,Buenos Aires,Bolívar,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p04,272,Carlos N. Naón,Buenos Aires,9 de Julio,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p04,329,Cazón,Buenos Aires,Saladillo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p04,751,Cereales,La Pampa,Atreucó,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p04,683,Cerro de los Leones,Buenos Aires,Tandil,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p04,504,Colonia Hogar Ricardo Gutiérrez,Buenos Aires,Marcos Paz,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p04,905,Colonia La Merced,Buenos Aires,Villarino,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,887,Colonia Philippson,Buenos Aires,Adolfo Alsina,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,704,Colonia San José,La Pampa,Quemú-Quemú,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,258,Colonia San Miguel Arcángel,Buenos Aires,Adolfo Alsina,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,712,Colonia Velaz,Buenos Aires,San Pedro,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,840,Condarco,Buenos Aires,Rivadavia,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,783,Corbett,Buenos Aires,9 de Julio,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,803,Coronel Falcón,Buenos Aires,Coronel Pringles,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,312,Coronel Granada,Buenos Aires,General Pinto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,615,Coronel Isleño,Buenos Aires,Salto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,288,Coronel Mom,Buenos Aires,Alberti,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,765,Coronel Rodolfo Bunge,Buenos Aires,Juárez,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,323,Cortines,Buenos Aires,Luján,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,839,Cotita,La Pampa,Hucal,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,679,Cuatro de Noviembre,Buenos Aires,Rojas,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
