page,n_orden,localidad_1960,provincia,depto_1960,poblacion,candidato_probado,rationale,georef_nombre,georef_depto,georef_id,lat,lon,fuente,confianza
v3_p21,9,3 de Febrero,Buenos Aires,3 de Febrero,263391,Tres de Febrero,digito -> numero-palabra: 3->tres,Tres de Febrero,Tres de Febrero,06840010,-34.6048497158582,-58.5609615725508,georef/localidades-censales,alta (match exacto en depto del conjunto)
v6_p05,7,Pcia. Roque Saenz Peña,Chaco,Comandante Fernández,14381,Presidencia Roque Saenz Peña,abreviatura: Pcia.->Presidencia,Presidencia Roque Sáenz Peña,Comandante Fernández,22021010,-26.7909684280648,-60.4413051819243,georef/localidades-censales,alta (match exacto en depto del conjunto)
v7_p05,14,Ingenio Santa Ana,Tucumán,Río Chico,11771,Santa Ana,prefijo: se quita 'Ingenio',Santa Ana,Río Chico,90077040,-27.4743563775771,-65.6816597572553,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p09,73,Gral. Alvarado (Miramar),Buenos Aires,General Alvarado,7782,Miramar,parentesis: se usa el contenido del parentesis,Miramar,General Alvarado,06280040,-38.2704290017702,-57.8387822151677,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p07,86,Empalme San Vicente,Buenos Aires,San Vicente,6459,San Vicente,prefijo: se quita 'Empalme',San Vicente,San Vicente,06778020,-35.0240394387399,-58.4205914420453,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p08,29,Villa Federal,Entre Ríos,Concordia,5256,Federal,prefijo: se quita 'Villa',Federal,Federal,30035030,-30.9562272249038,-58.7796219319481,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p07,102,Empalme Lobos,Buenos Aires,Lobos,5170,Lobos,prefijo: se quita 'Empalme',Lobos,Lobos,06483040,-35.1855001355473,-59.0925986919386,georef/localidades-censales,alta (match exacto en depto del conjunto)
v7_p05,30,Ingenio La Esperanza,Jujuy,San Pedro,5076,La Esperanza,prefijo: se quita 'Ingenio',La Esperanza,San Pedro,38063070,-24.2246609288053,-64.8380090421522,georef/localidades-censales,alta (match exacto en depto del conjunto)
v7_p06,31,Lib. Gral. San Martín,Jujuy,Ledesma,5051,Libertador General San Martín,"abreviatura: Lib.->Libertador, Gral.->General",Libertador General San Martín,Ledesma,38035080,-23.8147964129635,-64.7931158335435,georef/localidades-censales,alta (match exacto en depto del conjunto)
v8_p05,27,Villa Malargüe,Mendoza,Malargüe,4523,Malargüe,prefijo: se quita 'Villa',Malargüe,Malargüe,50077040,-35.4761492032467,-69.5802312483587,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p05,117,Cte. Nicanor Otamendi,Buenos Aires,General Alvarado,4046,Comandante Nicanor Otamendi,abreviatura: Cte.->Comandante,Comandante Nicanor Otamendi,General Alvarado,06280010,-38.1104895688634,-57.8412127291463,georef/localidades-censales,alta (match exacto en depto del conjunto)
v8_p05,35,Villa Tupungato,Mendoza,Tupungato,3716,Tupungato,prefijo: se quita 'Villa',Tupungato,Tupungato,50126060,-33.3638714972518,-69.1436948968176,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p08,42,Villa General Ramírez,Entre Ríos,Diamante,3203,General Ramírez,prefijo: se quita 'Villa',General Ramírez,Diamante,30021120,-32.1772053319515,-60.2017343560406,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p08,46,Villa Hernandarias,Entre Ríos,Paraná,2788,Hernandarias,prefijo: se quita 'Villa',Hernandarias,Paraná,30084110,-31.2300150387102,-59.9882854435468,georef/localidades-censales,alta (match exacto en depto del conjunto)
v8_p05,43,Villa La Paz,Mendoza,La Paz,2502,La Paz,prefijo: se quita 'Villa',La Paz,La Paz,50042020,-33.4610193184125,-67.5595785270435,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p08,68,Villa Larroque,Entre Ríos,Gualeguaychú,1993,Larroque,prefijo: se quita 'Villa',Larroque,Gualeguaychú,30056090,-33.0354242763647,-59.001853656082,georef/localidades-censales,alta (match exacto en depto del conjunto)
v8_p05,60,Villa Junín,Mendoza,Junín,1972,Junín,prefijo: se quita 'Villa',Junín,Junín,50035020,-33.1450869905894,-68.4921156012444,georef/localidades-censales,alta (match exacto en depto del conjunto)
v9_1_2_p01,38,Colonia Las Heras,Santa Cruz,Deseado,1880,Las Heras,prefijo: se quita 'Colonia',Las Heras,Deseado,78014060,-46.5412880468344,-68.9323714985692,georef/localidades-censales,alta (match exacto en depto del conjunto)
v8_p05,79,Tres de Mayo,Mendoza,Lavalle,1574,3 de Mayo,numero-palabra -> digito: Tres->3,3 de Mayo,Lavalle,50056150,-32.6787552978389,-68.6341723946046,georef/localidades-censales,alta (match exacto en depto del conjunto)
