grupo,veredicto,page,n_orden,localidad_1960,provincia,depto_1960,poblacion,propuesta,depto_propuesto,lat,lon,criterio_deteccion,verificado_geo,fuente,fuente_url,nota
A,aceptar,v3_p18,45,Puerto de la Plata,Buenos Aires,Puerto de la Plata,17338,Puerto La Plata (zona portuaria Ensenada-Berisso),,-34.86670,-57.89994,especial_manual,verde,Wikipedia,https://es.wikipedia.org/wiki/Puerto_La_Plata,"[3.3b manual_coord_ambiguo] Jose: punto del puerto (-34.8667,-57.8999), ambiguo; los 17338 hab son del cordon Ensenada-Berisso sin reparto documentado"
A,aceptar,v3_p18,76,Quequén,Buenos Aires,Lobería,7589,Quequén,,-38.566113,-58.706181,web_manual_coord,rojo,Wikipedia + Georef,https://es.wikipedia.org/wiki/Quequ%C3%A9n,[3.3b transferencia_confirmada] transferencia DOCUMENTADA: Decreto-Ley 9327/1979 | ley: Decreto-Ley 9327/1979
A,aceptar,v7_p02,23,Bella Vista,Tucumán,Famaillá,6816,Bella Vista,Leales,-27.0327868,-65.3071201,depto_transferencia_o_homonimo,rojo,"Wikipedia (Bella Vista, Tucuman) + Georef",https://es.wikipedia.org/wiki/Bella_Vista_(Tucum%C3%A1n),[3.3b transferencia_confirmada] transferencia DOCUMENTADA: Ley provincial 4518 (1976) | ley: Ley provincial 4518 (1976)
A,aceptar,v4_p17,57,Santa Teresa,Santa Fe,Iriondo,6103,Santa Teresa (Constitución) - depto 1960 Iriondo anomalo,Constitución,-33.43665,-60.79046,depto_transferencia_o_homonimo,rojo,Wikipedia + Georef,https://es.wikipedia.org/wiki/Santa_Teresa_(Santa_Fe),"[3.3b correccion_fuente_depto] Jose: image-check confirmo artefacto de fuente; depto 1960 impreso Iriondo es erroneo, correcto Constitucion"
A,aceptar,v9_1_2_p04,16,Puerto Madryn,Chubut,Chubut,5586,Puerto Madryn,Biedma,-42.7673,-65.0366,correccion_fuente_imagen,verde,imagen+georef,https://apis.datos.gob.ar/georef/api,"PASO0: fuente 1960 invirtio prov/depto (imprimio Prov=Biedma, Depto=Chubut); correcto Chubut/Biedma. Imagen v9_1_2_p04/16 | Paso 0: ratificado en decisiones.csv"
A,aceptar,v7_p11,33,Yerba Buena,Tucumán,Tafí,4519,Yerba Buena,Lules,-26.816042,-65.292538,depto_transferencia_o_homonimo,verde,Georef + Wikipedia,https://es.wikipedia.org/wiki/Yerba_Buena_(Tucum%C3%A1n),[3.3b transferencia_confirmada] transferencia DOCUMENTADA: Ley provincial 4518 (1976) | ley: Ley provincial 4518 (1976)
A,aceptar,v8_p01,44,Alto de Sierra,San Juan,Santa Lucía,2468,Alto de Sierra (Santa Lucia),9 de Julio,-31.53694,-68.42000,depto_transferencia_o_homonimo,verde,Wikipedia,https://es.wikipedia.org/wiki/Alto_de_Sierra_(Santa_Luc%C3%ADa),[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v3_p11,193,José A. Guisasola,Buenos Aires,Coronel Dorrego,1967,El Perdido (Est. José A. Guisasola),,-38.67726,-61.08618,web_manual_coord,verde,Wikipedia + Georef,https://es.wikipedia.org/wiki/El_Perdido,[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v3_p11,217,Isla Martín García,Buenos Aires,Isla Martín García,1712,Isla Martín García (poblado),,-34.1825,-58.25,especial_manual,verde,Wikipedia,https://es.wikipedia.org/wiki/Isla_Mart%C3%ADn_Garc%C3%ADa,[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v3_p12,222,La Dulce,Buenos Aires,Necochea,1662,Nicanor Olivera (La Dulce),,-38.2830519,-59.2027438,web_rename,verde,Georef + Wikipedia (Nicanor Olivera),https://apis.datos.gob.ar/georef/api/localidades?nombre=Nicanor%20Olivera&provincia=Buenos%20Aires,[3.3b rename] guard=verde (coord en conjunto permitido)
