page,n_orden,localidad,provincia,depto_1960,poblacion,estado_flag_previo,criterio_deteccion,dist_km,candidato_georef,verificado_geo_previo,tipo_resolucion,propuesta,georef_id,lat,lon,fuente,fuente_url,verificado_geo,depto_del_punto,veredicto,motivo_veredicto,confianza,tipo_doc,ley_o_anio,fuente_url_cambio,decidido_por,estado_final,nota
v3_p18,45,Puerto de la Plata,Buenos Aires,Puerto de la Plata,17338,flag_sin_match,especial_manual,,,especial,residuo_humano,Puerto La Plata (zona portuaria Ensenada-Berisso),,-34.86670,-57.89994,Wikipedia,https://es.wikipedia.org/wiki/Puerto_La_Plata,verde,Ensenada,aceptar,"Jose: punto del puerto (-34.8667,-57.8999), ambiguo; los 17338 hab son del cordon Ensenada-Berisso sin reparto documentado",baja,,,,humano (Jose),manual_coord_ambiguo,"Wikipedia: el Puerto La Plata esta situado entre los partidos de Ensenada y Berisso (coord del puerto -34.8667,-57.8999). No es una localidad sino la zona portuaria; los 17.338 hab son del cordon Ensenada-Berisso sin reparto documentado. Coord tentativa = punto del puerto; requiere ojo humano. || [humano] Jose: punto del puerto (-34.8667,-57.8999), ambiguo; los 17338 hab son del cordon Ensenada-Berisso sin reparto documentado"
v3_p18,76,Quequén,Buenos Aires,Lobería,7589,flag_sin_match,web_manual_coord,,,rojo,transferencia_confirmada,Quequén,0658104002,-38.566113,-58.706181,Wikipedia + Georef,https://es.wikipedia.org/wiki/Quequ%C3%A9n,rojo,Necochea,aceptar,transferencia DOCUMENTADA: Decreto-Ley 9327/1979,alta,documentada,Decreto-Ley 9327/1979,https://archivoquequen.blogspot.com/2010/11/el-22-de-mayo-de-1979-quequen-fue.html,auto,,"Wikipedia: Quequén perteneció al partido de Lobería hasta el 22/05/1979, cuando por Decreto-Ley 9327 fue anexado a Necochea (partido limítrofe). Mismo lugar, transferencia de límite. Coord del registro censal Georef en Necochea. || [3.3b-2] El archivo historico quequenense y las cronicas locales confirman que el 22/05/1979, por Decreto-Ley 9327 del gobernador Iberico Saint Jean, Quequen (circunscripcion VII) paso de Loberia a Necochea; la transferencia material se firmo el 30/06/1979. Confirma la transferencia Loberia -> Necochea del censo 1960."
v7_p02,23,Bella Vista,Tucumán,Famaillá,6816,flag_depto,depto_transferencia_o_homonimo,46,Bella Vista,rojo,transferencia_confirmada,Bella Vista,90056010,-27.0327868,-65.3071201,"Wikipedia (Bella Vista, Tucuman) + Georef",https://es.wikipedia.org/wiki/Bella_Vista_(Tucum%C3%A1n),rojo,Leales,aceptar,transferencia DOCUMENTADA: Ley provincial 4518 (1976),alta,documentada,Ley provincial 4518 (1976),https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Tucum%C3%A1n,auto,,"Wikipedia: Bella Vista es la ciudad cabecera del depto Leales y limita con Famailla; unica ciudad Bella Vista de ese tamano (6816 hab). La coord Georef coincide exacto con la del articulo (-27.033,-65.30). Es el mismo pueblo; el censo 1960 lo listo en Famailla (limite vecino), hoy Leales. || [3.3b-2] La ley provincial 4518 de 1976 reorganizo la division de Tucuman en 16 departamentos mas Capital y fijo en ese ano los limites de Leales y Famailla; desde entonces Bella Vista es cabecera de Leales. Antes de esa reorganizacion (censo 1960) figuraba en Famailla. El anexo de departamentos indica que la actual configuracion data de 1976 (ley 4518), acto que explica el paso Famailla -> Leales."
v4_p17,57,Santa Teresa,Santa Fe,Iriondo,6103,flag_depto,depto_transferencia_o_homonimo,96,Santa Teresa,rojo,correccion_fuente_depto,Santa Teresa (Constitución) - depto 1960 Iriondo anomalo,,-33.43665,-60.79046,Wikipedia + Georef,https://es.wikipedia.org/wiki/Santa_Teresa_(Santa_Fe),rojo,Constitución,aceptar,"Jose: image-check confirmo artefacto de fuente; depto 1960 impreso Iriondo es erroneo, correcto Constitucion",alta,artefacto_fuente_depto,,https://es.wikipedia.org/wiki/Santa_Teresa_(Santa_Fe),humano (Jose),correccion_fuente_depto,"Existe una sola Santa Teresa en Santa Fe (Georef 82028190, depto Constitucion); Wikipedia y fuentes confirman que es pueblo ferroviario de Constitucion, no de Iriondo. Iriondo (Cañada de Gomez) no es adyacente a Constitucion (~96 km), asi que no es transferencia de limite; no hay Santa Teresa en Iriondo. Probable error de depto en la fuente 1960, pero pob 6103 (1960) vs ~3243 (2022) no cierra: requiere ojo humano. Coord tentativa = Santa Teresa/Constitucion. || [3.3b-2] Es error de departamento en la fuente 1960: la unica Santa Teresa de Santa Fe pertenece al depto Constitucion (fundada 1889, sobre el ramal Villa Constitucion-Venado Tuerto) y siempre estuvo alli. El depto Iriondo (cabecera Canada de Gomez, a ~90 km) no tiene ninguna localidad llamada Santa Teresa entre sus pueblos (Armstrong, Totoras, Serodino, etc.). No hubo transferencia de limite; el censo 1960 imprimio Iriondo en lugar de Constitucion. Depto correcto = Constitucion. La pob 6103 (1960) vs 3243 (2022) requiere ojo humano pero no cambia la conclusion departamental. || [humano] Jose: image-check confirmo artefacto de fuente; depto 1960 impreso Iriondo es erroneo, correcto Constitucion"
v7_p11,33,Yerba Buena,Tucumán,Tafí,4519,flag_depto,depto_transferencia_o_homonimo,12,Yerba Buena,rojo,transferencia_confirmada,Yerba Buena,90119030,-26.816042,-65.292538,Georef + Wikipedia,https://es.wikipedia.org/wiki/Yerba_Buena_(Tucum%C3%A1n),verde,Yerba Buena,aceptar,transferencia DOCUMENTADA: Ley provincial 4518 (1976),alta,documentada,Ley provincial 4518 (1976),https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_Provincia_de_Tucum%C3%A1n,auto,,"Wikipedia: Yerba Buena es cabecera del actual departamento Yerba Buena; el depto Yerba Buena se separo del antiguo depto Tafi. En 1960 (pob 4519) figuraba en Tafi. Georef la registra como 'Yerba Buena - Marcos Paz' id 90119030 en depto Yerba Buena. El candidato previo (Yerba Buena/Lules 90063090) es un homonimo menor; el correcto es el suburbio de Gran San Miguel de Tucuman. Transferencia Tafi -> Yerba Buena. || [3.3b-2] El Anexo de Wikipedia 'Departamentos de la Provincia de Tucuman' indica que en 1976 la ley 4518 creo el departamento Yerba Buena con tierras de Capital, Famailla y Tafi; coincidente con FamilySearch (depto establecido en 1976). Por eso en el censo 1960 la localidad figuraba en el antiguo depto Tafi. Segregacion documentada."
v8_p01,44,Alto de Sierra,San Juan,Santa Lucía,2468,flag_depto,depto_transferencia_o_homonimo,14,Alto de Sierra,rojo,manual_coord,Alto de Sierra (Santa Lucia),,-31.53694,-68.42000,Wikipedia,https://es.wikipedia.org/wiki/Alto_de_Sierra_(Santa_Luc%C3%ADa),verde,Santa Lucía,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Existen DOS Alto de Sierra en San Juan (uno en 9 de Julio, id 70063010, y otro en Santa Lucia). Wikipedia: el de Santa Lucia es componente del Gran San Juan (pop 3.207 en 2001), coincide con depto_1960 Santa Lucia y pop 1960. El candidato Georef de 9 de Julio es el homonimo; coord del articulo de Santa Lucia (31 32 13 S, 68 25 12 O)."
v3_p11,193,José A. Guisasola,Buenos Aires,Coronel Dorrego,1967,flag_sin_match,web_manual_coord,,,rojo,rename,El Perdido (Est. José A. Guisasola),06189040,-38.67726,-61.08618,Wikipedia + Georef,https://es.wikipedia.org/wiki/El_Perdido,verde,Coronel Dorrego,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Wikipedia: la estacion se llamo Jose Antonio Guisasola hasta 1986, cuando la localidad quedo designada 'El Perdido (Est. Jose A. Guisasola)', partido de Coronel Dorrego. Georef El Perdido (06189040) en Coronel Dorrego coincide con depto_1960. Mismo lugar, renombrado."
v3_p11,217,Isla Martín García,Buenos Aires,Isla Martín García,1712,flag_sin_match,especial_manual,,,especial,manual_coord,Isla Martín García (poblado),,-34.1825,-58.25,Wikipedia,https://es.wikipedia.org/wiki/Isla_Mart%C3%ADn_Garc%C3%ADa,verde,La Plata,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Wikipedia: la isla y su poblado (puerto Martín García) están en 34°10'57''S 58°15'00''O; depende administrativamente del partido de La Plata pero se ubica a ~35 km al NO, en el Río de la Plata. Coord = el poblado de la isla, no el punto de La Plata."
v3_p12,222,La Dulce,Buenos Aires,Necochea,1662,flag_sin_match,web_rename,,,rojo,rename,Nicanor Olivera (La Dulce),06581050,-38.2830519,-59.2027438,Georef + Wikipedia (Nicanor Olivera),https://apis.datos.gob.ar/georef/api/localidades?nombre=Nicanor%20Olivera&provincia=Buenos%20Aires,verde,Necochea,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Wikipedia: La Dulce es el nombre popular; el oficial/censal es Nicanor Olivera, partido Necochea. Georef id 06581050 'Nicanor Olivera' en Necochea, coincide con el depto 1960."
v8_p05,77,Villa del Salvador,San Juan,Angaco,1592,flag_depto,depto_transferencia_o_homonimo,38,Villa del Salvador,rojo,rename,Villa El Salvador (cabecera del depto Angaco),70014020,-31.45327,-68.40376,Wikipedia + Georef,https://es.wikipedia.org/wiki/Villa_El_Salvador_(San_Juan),verde,Angaco,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Wikipedia: Villa del Salvador es ciudad cabecera del departamento Angaco (coincide con 1960) y solo se extiende en pequeñas parcelas hacia el sur al depto San Martin. El candidato Georef 70091040 (San Martin) es esa franja sur del mismo pueblo; el registro censal principal en Angaco es Villa El Salvador - Villa Sefair (Georef 70014020). Mismo lugar, no homonimo."
