page,n_orden,localidad,tipo_doc,fuente_cambio,fuente_url_cambio,ley_o_anio,confianza,nota
v3_p02,871,Arroyo Dulce,limite_no_documentada,,,,media,"Wikipedia (Arroyo Dulce) describe una disputa vigente: la localidad esta clasificada en el partido de Salto pero Pergamino la reclama, sin base legal, decreto ni fecha de cambio; esta a medio camino entre ambas ciudades. No existe un acto administrativo unico que transfiera Arroyo Dulce de Pergamino a Salto; ambos partidos son de mediados del siglo XIX (Salto, Ley 422 de 1854). Es un limite en conflicto, no documentado."
v3_p03,909,Calderón,limite_no_documentada,,,,media,"El partido Coronel de Marina Leonardo Rosales se creo el 12-05-1945 segregandose de Bahia Blanca (autonomia de Punta Alta). Como ya existia en 1960, su creacion no documenta el cambio: Calderon (estacion FC) aparece en el censo 1960 bajo Bahia Blanca y hoy en Coronel Rosales, lo que implica un reajuste del limite entre ambos partidos posterior a 1945/1960 o un artefacto de asignacion del censo. No encontre acto legal unico y citable que traslade Calderon de Bahia Blanca a Coronel Rosales; es reajuste de limite entre partidos preexistentes."
v3_p07,652,Energía,limite_no_documentada,,,,media,"El partido de San Cayetano se creo por Ley provincial 5921 (sancionada 24-10-1958, promulgada 04-11-1958) segregando tierras de Necochea, Tres Arroyos y Gonzalez Chaves. Energia esta hoy en el partido de Necochea, justo sobre el limite con San Cayetano. El censo 1960 la listo en San Cayetano (el partido nuevo) y hoy figura en Necochea (el partido madre), es decir un reajuste posterior de la demarcacion San Cayetano-Necochea. La ley 5921/1958 crea el partido pero NO documenta el paso especifico de Energia a Necochea; no hallé norma unica citable para ese ajuste de limite."
v3_p17,873,Pasteur,limite_no_documentada,,https://es.wikipedia.org/wiki/Partido_de_Lincoln,,media,"El partido de Lincoln fue creado por ley 5032 de 1865 y General Pinto en 1891; ambos ya existian en 1960. No se halla ley ni decreto que transfiera Pasteur de General Pinto a Lincoln (la ley 11071, que aparece en la busqueda, crea el partido Florentino Ameghino desde General Pinto y no menciona a Pasteur). Es un reajuste de limite o posible artefacto del censo, sin norma citable tras revisar normas.gba.gob.ar y Wikipedia de ambos partidos."
v3_p18,76,Quequén,documentada,"Decreto-Ley provincial 9327/79 (Bs As), sancionado y promulgado el 22/05/1979, que segrego las secciones urbanas de la Circunscripcion VII de Quequen del partido de Loberia y las incorporo al partido de Necochea a partir del 01/07/1979 (ampliado luego por Decreto-Ley 9710/1981 para una fraccion rural).",https://archivoquequen.blogspot.com/2010/11/el-22-de-mayo-de-1979-quequen-fue.html,Decreto-Ley 9327/1979,alta,"El archivo historico quequenense y las cronicas locales confirman que el 22/05/1979, por Decreto-Ley 9327 del gobernador Iberico Saint Jean, Quequen (circunscripcion VII) paso de Loberia a Necochea; la transferencia material se firmo el 30/06/1979. Confirma la transferencia Loberia -> Necochea del censo 1960."
v3_p22,349,Villars,limite_no_documentada,,,,media,"Busque en Wikipedia (Villars, Estacion Villars, partidos de General Las Heras y Marcos Paz) y en normas.gba.gob.ar sin hallar una ley o decreto que transfiera Villars de Marcos Paz a General Las Heras. Ambos partidos ya existian en 1960 (Gral Las Heras con limites por decreto de 1875) y no figuran en anexos de creacion; es un reajuste de limite entre partidos preexistentes, sin acto legal unico citable."
v4_p07,419,Golondrina,limite_no_documentada,,https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Santa_Fe,,media,"El departamento Vera fue creado el 31/12/1890 como desprendimiento de La Capital y General Obligado tambien data de 1890 (desde San Javier); ambos ya existian en 1960. No existe una ley unica que reasigne Golondrina: se trata de un reajuste de limite en la zona forestal (La Forestal) entre dos departamentos preexistentes. Busque el anexo de departamentos de Santa Fe, sitios provinciales y Wikipedia sin hallar norma citable."
v4_p07,572,Garabato,limite_no_documentada,,https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Santa_Fe,,media,"Igual que Golondrina (comuna vecina a 13 km): Vera (creado 1890 desde La Capital) y General Obligado (1890, desde San Javier) ya existian en 1960. No hay ley que transfiera Garabato; es un reajuste de limite en la zona de obrajes de La Forestal entre dos departamentos preexistentes. Sin norma citable tras revisar el anexo de departamentos de Santa Fe y fuentes provinciales."
v4_p08,601,Intiyaco,limite_no_documentada,,,,baja,"Wikipedia (Intiyaco) solo confirma que hoy es comuna del depto Vera; no menciona cambio de departamento ni ley. Vera y General Obligado ya existian en 1960; los pueblos forestales de La Forestal (Intiyaco, Villa Guillermina, etc.) se extendian por Vera, 9 de Julio y Gral Obligado, y la asignacion censal de 1960 a Gral Obligado no responde a un acto legal unico identificable. Reajuste de limite sin norma citable."
v4_p10,491,Los Amores,limite_no_documentada,,,,media,"Wikipedia y Camara de Senadores de Santa Fe: Los Amores es del depto Vera (comuna creada el 01-07-1914, estacion del ramal Santa Fe-Resistencia). Vera y General Obligado son departamentos limitrofes y ambos existian en 1960. El nombre proviene de un arroyo del depto General Obligado, pero eso es etimologia, no jurisdiccion. Tras busqueda no hallé ley/decreto unico que traslade Los Amores de General Obligado (censo 1960) a Vera; es reajuste de limite entre departamentos preexistentes del norte santafesino."
v4_p17,57,Santa Teresa,artefacto_fuente_depto,"Wikipedia ES 'Santa Teresa (Santa Fe)' y municipiosycomunas.com.ar: la localidad pertenece al departamento Constitucion, origen ferroviario, traza aprobada por el gobierno de Santa Fe el 19-03-1889",https://es.wikipedia.org/wiki/Santa_Teresa_(Santa_Fe),,alta,"Es error de departamento en la fuente 1960: la unica Santa Teresa de Santa Fe pertenece al depto Constitucion (fundada 1889, sobre el ramal Villa Constitucion-Venado Tuerto) y siempre estuvo alli. El depto Iriondo (cabecera Canada de Gomez, a ~90 km) no tiene ninguna localidad llamada Santa Teresa entre sus pueblos (Armstrong, Totoras, Serodino, etc.). No hubo transferencia de limite; el censo 1960 imprimio Iriondo en lugar de Constitucion. Depto correcto = Constitucion. La pob 6103 (1960) vs 3243 (2022) requiere ojo humano pero no cambia la conclusion departamental."
v4_p18,578,Tartagal,limite_no_documentada,,,,media,"Wikipedia y Georef ubican la comuna de Tartagal en el depto Vera. Vera y General Obligado son limitrofes y ambos preexistian al censo 1960. Tartagal esta cerca del limite entre ambos. No encontre acto legal unico y citable que reasigne Tartagal de General Obligado (censo 1960) a Vera; corresponde a un reajuste de limite entre departamentos ya existentes, sin norma de creacion por segregacion posterior a 1960."
v4_p18,658,Tinoco,limite_no_documentada,,https://es.wikipedia.org/wiki/Departamento_Col%C3%B3n_(C%C3%B3rdoba),,media,"El departamento Colon proviene del cambio de nombre del depto Anejos Norte por decreto del gobernador Pizarro (1892), no de una segregacion de Rio Primero; ambos departamentos ya existian en 1960. La unica modificacion de limites documentada de Colon es la ley 7769 de 1988 (pedania Sinsacate, ex Totoral), que no afecta a Tinoco ni a Rio Primero. Tinoco esta sobre el limite Colon-Rio Primero (estacion del FC Cordoba-Santa Rosa de Rio Primero); es un reajuste de limite sin acto legal unico citable."
v5_p01,136,Aranguren,limite_no_documentada,,,,media,"El sitio municipal aranguren.gob.ar/historia reproduce un plano antiguo que rotula 'Pueblo Aranguren, Departamento Victoria, Distrito Chilcas', confirmando que la localidad estuvo en el depto Victoria (coincide con el censo 1960); hoy pertenece al depto Nogoya, distrito Algarrobitos. El decreto 3935/1987 y la ley 7944/1987 solo crean el municipio y fijan el nombre 'Aranguren', no documentan el cambio de departamento. No encontre norma unica citable que reasigne el distrito de Victoria a Nogoya; es reajuste de limite entre departamentos entrerrianos preexistentes."
v5_p02,114,Dos de Mayo,limite_no_documentada,,,,media,"Busque en Wikipedia (Dos de Mayo, depto Cainguas, depto Libertador Gral San Martin), El Territorio 'Division politica de Misiones' y FamilySearch. Misiones fijo sus 17 departamentos por Decreto-Ley 1668 del 26-12-1956 (previo al censo) y los limites Cainguas / Libertador Gral San Martin / 25 de Mayo se reajustaron en los anios 1960s (el municipio de Dos de Mayo se creo en 1964 ya dentro de Cainguas). No hallé un acto legal unico y citable que traslade especificamente el area de Dos de Mayo de Libertador Gral San Martin (censo 1960) a Cainguas despues de 1960; es un reajuste de limite entre departamentos ya existentes."
