page,localidad,provincia,departamento,wiki_titulo,wiki_url,tipo_match,estado
v3_p01,Abbott,Buenos Aires,Monte,Abbott,https://es.wikipedia.org/wiki/Abbott,exacto,validado
v3_p01,Abramo,La Pampa,Hucal,Abramo,https://es.wikipedia.org/wiki/Abramo,exacto,validado
v3_p01,Acevedo,Buenos Aires,Pergamino,Acevedo,https://es.wikipedia.org/wiki/Acevedo,exacto,validado
v3_p01,Achupallas,Buenos Aires,Alberti,Achupallas,https://es.wikipedia.org/wiki/Achupallas,exacto,validado
v3_p01,Adela,Buenos Aires,Chascomús,Adela,https://es.wikipedia.org/wiki/Adela,exacto,validado
v3_p01,Adolfo Alsina,Buenos Aires,Adolfo Alsina,Adolfo Alsina,https://es.wikipedia.org/wiki/Adolfo_Alsina,exacto,validado
v3_p01,Adolfo Van Praet,La Pampa,Realicó,Adolfo Van Praet,https://es.wikipedia.org/wiki/Adolfo_Van_Praet,exacto,validado
v3_p01,Agote,Buenos Aires,Mercedes,Agote,https://es.wikipedia.org/wiki/Agote,exacto,validado
v3_p01,Agustina,Buenos Aires,Junín,Agustina,https://es.wikipedia.org/wiki/Agustina,exacto,validado
v3_p01,Agustín Roca,Buenos Aires,Junín,Agustín Roca,https://es.wikipedia.org/wiki/Agust%C3%ADn_Roca,exacto,validado
v3_p01,Agustoni,La Pampa,Maracó,Agustoni,https://es.wikipedia.org/wiki/Agustoni,exacto,validado
v3_p01,Alagón,Buenos Aires,Pehuajó,Alagón,https://es.wikipedia.org/wiki/Alag%C3%B3n,exacto,validado
v3_p01,Albariño,Buenos Aires,Pehuajó,Albariño,https://es.wikipedia.org/wiki/Albari%C3%B1o,exacto,validado
v3_p01,Alberti,Buenos Aires,Alberti,Alberti,https://es.wikipedia.org/wiki/Alberti,exacto,validado
v3_p01,Aldea Romana,Buenos Aires,Bahía Blanca,,,sin_match,pendiente-humano
v3_p01,Alegre,Buenos Aires,General Paz,Alegre,https://es.wikipedia.org/wiki/Alegre,sin_match,pendiente-humano
v3_p01,Alférez de San Martín,Buenos Aires,Bahía Blanca,,,sin_match,pendiente-humano
v3_p01,Algarrobo,Buenos Aires,Villarino,Algarrobo,https://es.wikipedia.org/wiki/Algarrobo,exacto,validado
v3_p01,Algarrobo del Águila,La Pampa,Chical-Có,Algarrobo del Águila,https://es.wikipedia.org/wiki/Algarrobo_del_%C3%81guila,exacto,validado
v3_p01,Almirante Brown,Buenos Aires,Almirante Brown,Almirante Brown,https://es.wikipedia.org/wiki/Almirante_Brown,exacto,validado
v3_p01,Alpachiri,La Pampa,Guatraché,Alpachiri,https://es.wikipedia.org/wiki/Alpachiri,exacto,validado
v3_p01,Alsina,Buenos Aires,Baradero,Alsina,https://es.wikipedia.org/wiki/Alsina,exacto,validado
v3_p01,Alta Italia,La Pampa,Realicó,Alta Italia,https://es.wikipedia.org/wiki/Alta_Italia,exacto,validado
v3_p01,Altamira,Buenos Aires,Mercedes,Altamira,https://es.wikipedia.org/wiki/Altamira,exacto,validado
v3_p01,Altamirano,Buenos Aires,Brandsen,Altamirano,https://es.wikipedia.org/wiki/Altamirano,exacto,validado
v3_p01,Alta Vista,Buenos Aires,Saavedra,Alta Vista,https://es.wikipedia.org/wiki/Alta_Vista,sin_match,pendiente-humano
v3_p01,Altona,Buenos Aires,Tapalqué,Altona,https://es.wikipedia.org/wiki/Altona,exacto,validado
v3_p01,Alvarez de Toledo,Buenos Aires,Saladillo,Alvarez de Toledo,https://es.wikipedia.org/wiki/Alvarez_de_Toledo,exacto,validado
v3_p01,Alvarez Jonte,Buenos Aires,Magdalena,Alvarez Jonte,https://es.wikipedia.org/wiki/Alvarez_Jonte,exacto,validado
v3_p01,Amalia,Buenos Aires,9 de Julio,Amalia,https://es.wikipedia.org/wiki/Amalia,exacto,validado
v3_p01,Ameghino,Buenos Aires,General Pinto,Ameghino (cráter),https://es.wikipedia.org/wiki/Ameghino_(cr%C3%A1ter),sin_match,pendiente-humano
