page,n_orden,localidad,total,varones,mujeres,suma_vm,delta,estado
v3_p01,359,Abbott,865,460,405,865,0,ok
v3_p01,396,Abramo,747,406,341,747,0,ok
v3_p01,299,Acevedo,1148,598,550,1148,0,ok
v3_p01,446,Achupallas,638,336,302,638,0,ok
v3_p01,659,Adela,336,209,127,336,0,ok
v3_p01,89,Adolfo Alsina,6183,3035,3148,6183,0,ok
v3_p01,491,Adolfo Van Praet,558,280,278,558,0,ok
v3_p01,737,Agote,260,130,130,260,0,ok
v3_p01,313,Agustina,1079,618,461,1079,0,ok
v3_p01,264,Agustín Roca,1361,729,632,1361,0,ok
v3_p01,577,Agustoni,418,246,172,418,0,ok
v3_p01,702,Alagón,289,180,109,289,0,ok
v3_p01,807,Albariño,202,127,75,202,0,ok
v3_p01,99,Alberti,5322,2586,2736,5322,0,ok
v3_p01,459,Aldea Romana,616,354,262,616,0,ok
v3_p01,825,Alegre,188,112,76,188,0,ok
v3_p01,808,Alférez de San Martín,202,120,82,202,0,ok
v3_p01,271,Algarrobo,1317,726,591,1317,0,ok
v3_p01,775,Algarrobo del Águila,228,122,106,228,0,ok
v3_p01,14,Almirante Brown,136924,68451,68473,136924,0,ok
v3_p01,176,Alpachiri,2414,1337,1077,2414,0,ok
v3_p01,260,Alsina,1375,777,598,1375,0,ok
v3_p01,285,Alta Italia,1227,646,581,1227,0,ok
v3_p01,757,Altamira,245,125,120,245,0,ok
v3_p01,675,Altamirano,320,180,140,320,0,ok
v3_p01,818,Alta Vista,192,119,73,192,0,ok
v3_p01,879,Altona,137,76,61,137,0,ok
v3_p01,318,Alvarez de Toledo,1040,562,478,1040,0,ok
v3_p01,516,Alvarez Jonte,519,279,240,519,0,ok
v3_p01,897,Amalia,120,71,49,120,0,ok
v3_p01,116,Ameghino,4154,2167,1987,4154,0,ok
v3_p01,814,Anasagasti,198,118,80,198,0,ok
v3_p01,622,Andant,370,211,159,370,0,ok
v3_p01,764,Anderson,235,130,105,235,0,ok
v3_p01,221,Anguil,1665,920,745,1665,0,ok
v3_p01,443,Antonio Carboni,644,359,285,644,0,ok
v3_p01,754,Anzoategui,247,163,84,247,0,ok
v3_p01,394,Aparicio,755,458,297,755,0,ok
v3_p01,750,Arano,248,143,105,248,0,ok
v3_p01,269,Arata,1336,735,601,1336,0,ok
v3_p01,574,Araujo,422,240,182,422,0,ok
v3_p02,385,Arboledas,781,426,355,781,0,ok
v3_p02,230,Arenaza,1592,831,761,1592,0,ok
v3_p02,726,Argerich,267,153,114,267,0,ok
v3_p02,609,Ariel,379,211,168,379,0,ok
v3_p02,57,Arrecifes,10397,5234,5163,10397,0,ok
v3_p02,162,Arribeños,2782,1448,1334,2782,0,ok
v3_p02,338,Arroyo Corto,956,455,501,956,0,ok
v3_p02,634,Arroyo de la Cruz,361,203,158,361,0,ok
v3_p02,586,Arroyo del Medio,403,232,171,403,0,ok
v3_p02,699,Arroyo de los Huesos,297,187,110,297,0,ok
v3_p02,871,Arroyo Dulce,147,96,51,147,0,ok
v3_p02,236,Arroyo Dulce,1514,793,721,1514,0,ok
v3_p02,447,Arroyo Venado,634,352,282,634,0,ok
v3_p02,623,Asamblea,369,224,145,369,0,ok
v3_p02,168,Ascensión,2638,1381,1257,2638,0,ok
v3_p02,703,Asturias,287,172,115,287,0,ok
v3_p02,539,Atalaya,484,249,235,484,0,ok
v3_p02,427,Ataliva Roca,678,373,305,678,0,ok
v3_p02,909,Atilio Pesagno,100,60,40,100,0,ok
v3_p02,838,Atreucó,175,119,56,175,0,ok
v3_p02,868,Atucha,152,102,50,152,0,ok
v3_p02,5,Avellaneda,326531,163759,162772,326531,0,ok
v3_p02,651,Avestrus,343,199,144,343,0,ok
v3_p02,61,Ayacucho,10004,4660,5344,10004,0,ok
v3_p02,552,Azcuénaga,463,252,211,463,0,ok
v3_p02,473,Azopardo,578,326,252,578,0,ok
v3_p02,397,Azucena,743,429,314,743,0,ok
