page,n_orden,localidad_1960,provincia,depto_1960,poblacion,estado_flag_previo,criterio_deteccion,depto_moderno_esperado,candidato_georef_id,candidato_georef_nombre,candidato_georef_depto,dist_km,cand_lat,cand_lon,verificado_geo_previo,propuesta_previa,fuente_previa,fuente_url_previa,nota_previa
v3_p18,45,Puerto de la Plata,Buenos Aires,Puerto de la Plata,17338,flag_sin_match,especial_manual,Ensenada,,,,,,,especial,(coord citada),web,https://es.wikipedia.org/wiki/Puerto_de_La_Plata,"= 'Zona Nacional Puerto La Plata' (cod 57-120, 17.338 hab). NO es una localidad: es la zona portuaria, repartida entre Ensenada y Berisso (sin fuente que la reparta). Los 17.338 son PERSONAS del cordon Ensenada-Berisso, no infraestructura. Coord = punto del puerto (entre ambas). AMBIGUO, a confirmar"
v3_p18,76,Quequén,Buenos Aires,Lobería,7589,flag_sin_match,web_manual_coord,Lobería,,,,,,,rojo,Quequén,Wikipedia,https://es.wikipedia.org/wiki/Quequ%C3%A9n,"[guard=rojo; punto en Necochea] Localidad portuaria; perteneció al partido de Lobería hasta 1979, hoy en Necochea, partido limítrofe de Lobería"
v7_p02,23,Bella Vista,Tucumán,Famaillá,6816,flag_depto,depto_transferencia_o_homonimo,Famaillá | Lules | Yerba Buena,90056010,Bella Vista,Leales,46,-27.0327868014525,-65.307120069312,rojo,Bella Vista,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=46. dist_km=46 -> transferencia de limite plausible (adyacente). candidatos: Bella Vista/Leales [90056010]
v4_p17,57,Santa Teresa,Santa Fe,Iriondo,6103,flag_depto,depto_transferencia_o_homonimo,Iriondo,82028190,Santa Teresa,Constitución,96,-33.4367360092999,-60.7904600880017,rojo,Santa Teresa,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=96. dist_km=96 -> zona gris. candidatos: Santa Teresa/Constitución [82028190]
v7_p11,33,Yerba Buena,Tucumán,Tafí,4519,flag_depto,depto_transferencia_o_homonimo,Tafí del Valle | Tafí Viejo | Yerba Buena,90063090,Yerba Buena,Lules,12,-26.8321539580069,-65.3069313452341,rojo,Yerba Buena,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=12. dist_km=12 -> transferencia de limite plausible (adyacente). candidatos: Yerba Buena/Lules [90063090]
v8_p01,44,Alto de Sierra,San Juan,Santa Lucía,2468,flag_depto,depto_transferencia_o_homonimo,Santa Lucía,70063010,Alto de Sierra,9 de Julio,14,-31.5372607161788,-68.4211937544812,rojo,Alto de Sierra,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=14. dist_km=14 -> transferencia de limite plausible (adyacente). candidatos: Alto de Sierra/9 de Julio [70063010]
v3_p11,193,José A. Guisasola,Buenos Aires,Coronel Dorrego,1967,flag_sin_match,web_manual_coord,Coronel Dorrego | Monte Hermoso,,,,,,,rojo,Estación José A. Guisasola,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Jos%C3%A9_A._Guisasola,"[guard=rojo; punto en Coronel Suárez] Estación de FC en partido Coronel Dorrego, cercana a El Perdido"
v3_p11,217,Isla Martín García,Buenos Aires,Isla Martín García,1712,flag_sin_match,especial_manual,La Plata,,,,,,,especial,(coord citada),web,https://es.wikipedia.org/wiki/Isla_Mart%C3%ADn_Garc%C3%ADa,unidad censal 1960 propia (cod 119). Isla con un unico poblado/puerto sin nombre censal. OJO: depende administrativamente del partido de La Plata pero esta a ~35 km al NO -> NO usar el punto de La Plata. Coord = el poblado de la isla
v3_p12,222,La Dulce,Buenos Aires,Necochea,1662,flag_sin_match,web_rename,Necochea,,,,,,,rojo,Nicanor Olivera (La Dulce),Wikipedia (La Dulce),https://es.wikipedia.org/wiki/La_Dulce,"[guard=rojo; punto en San Cayetano] Nombre oficial Nicanor Olivera, conocida como La Dulce; depto Necochea. Coord 38°18'03''S 59°22'51''O."
v8_p05,77,Villa del Salvador,San Juan,Angaco,1592,flag_depto,depto_transferencia_o_homonimo,Angaco,70091040,Villa del Salvador,San Martín,38,-31.4636666297769,-68.4109532790942,rojo,Villa del Salvador,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=38. dist_km=38 -> transferencia de limite plausible (adyacente). candidatos: Villa del Salvador/San Martín [70091040]
v7_p08,105,Río Colorado,Tucumán,Famaillá,1433,flag_depto,depto_transferencia_o_homonimo,Famaillá | Lules | Yerba Buena,90056060,Río Colorado,Leales,46,-27.1496800217878,-65.3560513582608,rojo,Río Colorado,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=46. dist_km=46 -> transferencia de limite plausible (adyacente). candidatos: Río Colorado/Leales [90056060]
v4_p15,321,San Bartolomé,Córdoba,San Justo,1324,flag_depto,depto_transferencia_o_homonimo,San Justo,14098245,San Bartolome,Río Cuarto,297,-32.7577983840562,-64.7368586459292,rojo,San Bartolome,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=297. dist_km=297 -> homonimo probable (lejano). candidatos: San Bartolome/Río Cuarto [14098245]
