page,n_orden,provincia,departamento,localidad,footnote,total,varones,mujeres
v3_p01,359,Buenos Aires,Monte,Abbott,,865,460,405
v3_p01,396,La Pampa,Hucal,Abramo,,747,406,341
v3_p01,299,Buenos Aires,Pergamino,Acevedo,,1148,598,550
v3_p01,446,Buenos Aires,Alberti,Achupallas,,638,336,302
v3_p01,659,Buenos Aires,Chascomús,Adela,,336,209,127
v3_p01,89,Buenos Aires,Adolfo Alsina,Adolfo Alsina,,6183,3035,3148
v3_p01,491,La Pampa,Realicó,Adolfo Van Praet,,558,280,278
v3_p01,737,Buenos Aires,Mercedes,Agote,,260,130,130
v3_p01,313,Buenos Aires,Junín,Agustina,,1079,618,461
v3_p01,264,Buenos Aires,Junín,Agustín Roca,,1361,729,632
v3_p01,577,La Pampa,Maracó,Agustoni,,418,246,172
v3_p01,702,Buenos Aires,Pehuajó,Alagón,,289,180,109
v3_p01,807,Buenos Aires,Pehuajó,Albariño,,202,127,75
v3_p01,99,Buenos Aires,Alberti,Alberti,,5322,2586,2736
v3_p01,459,Buenos Aires,Bahía Blanca,Aldea Romana,,616,354,262
v3_p01,825,Buenos Aires,General Paz,Alegre,,188,112,76
v3_p01,808,Buenos Aires,Bahía Blanca,Alférez de San Martín,,202,120,82
v3_p01,271,Buenos Aires,Villarino,Algarrobo,,1317,726,591
v3_p01,775,La Pampa,Chical-Có,Algarrobo del Águila,,228,122,106
v3_p01,14,Buenos Aires,Almirante Brown,Almirante Brown,1,136924,68451,68473
v3_p01,176,La Pampa,Guatraché,Alpachiri,,2414,1337,1077
v3_p01,260,Buenos Aires,Baradero,Alsina,,1375,777,598
v3_p01,285,La Pampa,Realicó,Alta Italia,,1227,646,581
v3_p01,757,Buenos Aires,Mercedes,Altamira,,245,125,120
v3_p01,675,Buenos Aires,Brandsen,Altamirano,,320,180,140
v3_p01,818,Buenos Aires,Saavedra,Alta Vista,,192,119,73
v3_p01,879,Buenos Aires,Tapalqué,Altona,,137,76,61
v3_p01,318,Buenos Aires,Saladillo,Alvarez de Toledo,,1040,562,478
v3_p01,516,Buenos Aires,Magdalena,Alvarez Jonte,,519,279,240
v3_p01,897,Buenos Aires,9 de Julio,Amalia,,120,71,49
v3_p01,116,Buenos Aires,General Pinto,Ameghino,,4154,2167,1987
v3_p01,814,Buenos Aires,Navarro,Anasagasti,,198,118,80
v3_p01,622,Buenos Aires,Caseros,Andant,,370,211,159
v3_p01,764,Buenos Aires,25 de Mayo,Anderson,,235,130,105
v3_p01,221,La Pampa,Capital,Anguil,,1665,920,745
v3_p01,443,Buenos Aires,Lobos,Antonio Carboni,,644,359,285
v3_p01,754,La Pampa,Caleu-Caleu,Anzoategui,,247,163,84
v3_p01,394,Buenos Aires,Coronel Dorrego,Aparicio,,755,458,297
v3_p01,750,Buenos Aires,Adolfo Alsina,Arano,,248,143,105
v3_p01,269,La Pampa,Trenel,Arata,,1336,735,601
v3_p01,574,Buenos Aires,25 de Mayo,Araujo,,422,240,182
v3_p02,385,Buenos Aires,Caseros,Arboledas,,781,426,355
v3_p02,230,Buenos Aires,Lincoln,Arenaza,,1592,831,761
v3_p02,726,Buenos Aires,Villarino,Argerich,,267,153,114
v3_p02,609,Buenos Aires,Azul,Ariel,,379,211,168
v3_p02,57,Buenos Aires,Bartolomé Mitre,Arrecifes,,10397,5234,5163
v3_p02,162,Buenos Aires,General Arenales,Arribeños,,2782,1448,1334
v3_p02,338,Buenos Aires,Saavedra,Arroyo Corto,,956,455,501
v3_p02,634,Buenos Aires,Exaltación de la Cruz,Arroyo de la Cruz,,361,203,158
v3_p02,586,Buenos Aires,Pergamino,Arroyo del Medio,,403,232,171
v3_p02,699,Buenos Aires,Azul,Arroyo de los Huesos,,297,187,110
v3_p02,871,Buenos Aires,Pergamino,Arroyo Dulce,,147,96,51
v3_p02,236,Buenos Aires,Salto,Arroyo Dulce,,1514,793,721
v3_p02,447,Buenos Aires,Guaminí,Arroyo Venado,,634,352,282
v3_p02,623,Buenos Aires,Bragado,Asamblea,,369,224,145
v3_p02,168,Buenos Aires,General Arenales,Ascensión,,2638,1381,1257
v3_p02,703,Buenos Aires,Pehuajó,Asturias,,287,172,115
v3_p02,539,Buenos Aires,Magdalena,Atalaya,,484,249,235
v3_p02,427,La Pampa,Utracán,Ataliva Roca,,678,373,305
v3_p02,909,Buenos Aires,Chascomús,Atilio Pesagno,,100,60,40
v3_p02,838,La Pampa,Atreucó,Atreucó,,175,119,56
v3_p02,868,Buenos Aires,Zárate,Atucha,,152,102,50
v3_p02,5,Buenos Aires,Avellaneda,Avellaneda,1,326531,163759,162772
v3_p02,651,Buenos Aires,Adolfo Alsina,Avestrus,,343,199,144
v3_p02,61,Buenos Aires,Ayacucho,Ayacucho,,10004,4660,5344
v3_p02,552,Buenos Aires,San Andrés de Giles,Azcuénaga,,463,252,211
v3_p02,473,Buenos Aires,Puán,Azopardo,,578,326,252
v3_p02,397,Buenos Aires,Tandil,Azucena,,743,429,314
v3_p02,31,Buenos Aires,Azul,Azul,,33535,16542,16993
