page,n_orden,localidad,provincia,departamento,wiki_sugerencia,dist,crop,mi_lectura,veredicto,valor_final
v4_p01,381,Albarrellos,Santa Fe,Rosario,Albarellos (Argentina),1,pages/checks/ap_v4_p01_381.png,= crudo (imagen verificada),verbatim_paso3,
v4_p01,574,Anizacate,Córdoba,Santa María,Anisacate,1,pages/checks/ap_v4_p01_574.png,= crudo (imagen verificada),verbatim_paso3,
v4_p01,594,Agua de Ramón,Córdoba,Minas,Aguas de Ramon,1,pages/checks/ap_v4_p01_594.png,= crudo (imagen verificada),verbatim_paso3,
v4_p01,702,Altautina,Córdoba,San Alberto,Altarcina,2,pages/checks/ap_v4_p01_702.png,= crudo (imagen verificada),verbatim_paso3,
v4_p02,12,Bell-Ville,Córdoba,Unión,Bell Ville,1,pages/checks/ap_v4_p02_12.png,= crudo,defer_paso3_puntuacion,
v4_p02,161,Brinkman,Córdoba,San Justo,Brinkmann,1,pages/checks/ap_v4_p02_161.png,= crudo (imagen verificada),verbatim_paso3,
v4_p02,390,Bajo Chico,Córdoba,Santa María,Bajo Chaco,1,pages/checks/ap_v4_p02_390.png,= crudo (imagen verificada),verbatim_paso3,
v4_p02,450,Ascochingas,Santa Fe,La Capital,Ascochinga,1,pages/checks/ap_v4_p02_450.png,= crudo (imagen verificada),verbatim_paso3,
v4_p02,474,Baver y Sigel,Santa Fe,Castellanos,Bauer y Sigel,1,pages/checks/ap_v4_p02_474.png,= crudo (imagen verificada),verbatim_paso3,
v4_p03,730,Cañada del Río Pinto,Córdoba,Ischilín,Cañada de Río Pinto,1,pages/checks/ap_v4_p03_730.png,= crudo (imagen verificada),verbatim_paso3,
v4_p04,300,Classon,Santa Fe,Iriondo,Clason,1,pages/checks/ap_v4_p04_300.png,= crudo (imagen verificada),verbatim_paso3,
v4_p04,611,Colonia 10 de Julio,Córdoba,San Justo,Colonia 18 de Julio,1,pages/checks/ap_v4_p04_611.png,= crudo (imagen verificada),verbatim_paso3,
v4_p04,669,Colonia Waltelina,Córdoba,San Justo,Colonia Valtelina,1,pages/checks/ap_v4_p04_669.png,= crudo (imagen verificada),verbatim_paso3,
v4_p05,716,Chuchiras,Córdoba,San Javier,Chuchera,2,pages/checks/ap_v4_p05_716.png,= crudo (imagen verificada),verbatim_paso3,
v4_p08,130,Irivilli,Córdoba,Marcos Juárez,Inriville,2,pages/checks/ap_v4_p08_130.png,= crudo (Irivilli; decidido en decisiones.csv sesion previa),verbatim_paso3,
v4_p08,525,Iglesias Viejas,Córdoba,Cruz del Eje,"Iglesia vieja (Tonalá, Chiapas)",2,pages/checks/ap_v4_p08_525.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v4_p08,567,Kilómetro 711,Córdoba,Colón,Kilómetro 11,1,pages/checks/ap_v4_p08_567.png,= crudo (imagen verificada),verbatim_paso3,
v4_p08,617,Jaime Peter,Córdoba,Ischilín,Jaime Peters,1,pages/checks/ap_v4_p08_617.png,= crudo (imagen verificada),verbatim_paso3,
v4_p08,775,Jean Maire,Córdoba,San Justo,Jean Mairet,1,pages/checks/ap_v4_p08_775.png,= crudo (imagen verificada),verbatim_paso3,
v4_p10,758,Las Averías,Córdoba,Río Primero,Las Erías,2,pages/checks/ap_v4_p10_758.png,= crudo (imagen verificada),verbatim_paso3,
v4_p11,198,Los Saladillos,Santa Fe,9 de Julio,Los Alamillos,2,pages/checks/ap_v4_p11_198.png,= crudo (imagen verificada),verbatim_paso3,
v4_p11,537,Luxardo,Córdoba,San Justo,Lunfardo,2,pages/checks/ap_v4_p11_537.png,= crudo (imagen verificada),verbatim_paso3,
v4_p13,52,Onativo,Córdoba,Río Segundo,Oncativo,1,pages/checks/ap_v4_p13_52.png,Onoativo,typo_transcripcion,Onoativo
v4_p13,671,Pichanas,Córdoba,Cruz del Eje,Pichanal,1,pages/checks/ap_v4_p13_671.png,= crudo (imagen verificada),verbatim_paso3,
v4_p13,746,Piedrita Blanca,Córdoba,Minas,Piedra Blanca (República Dominicana),2,pages/checks/ap_v4_p13_746.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
