"outcome","controls","spec","estimate","std_err","p_value","first_stage_F","n_obs"
"population","baseline","OLS",0.0246613387551225,0.0123120860729202,0.0460716577533108,NA,311
"population","baseline","IV-LP",0.0455977482707399,0.0398648349407398,0.253611771051744,22.1240648551298,311
"population","baseline","IV-H",0.0693615959105222,0.0684034965062092,0.311393995412928,6.86977460035288,311
"population","baseline","IV-B",0.0518102350450096,0.0310619278625401,0.0963624302528063,16.1672590521111,311
"population","with_area","OLS",0.0158008794724367,0.0118646647325343,0.183950180252681,NA,311
"population","with_area","IV-LP",-0.0236532904320895,0.0433902716363967,0.58606991020345,16.0471433553017,311
"population","with_area","IV-H",0.016897681917905,0.0798038603191968,0.832453533416967,5.02056180037326,311
"population","with_area","IV-B",-0.0127035848202486,0.037190764216047,0.732906862078298,12.2680535653895,311
"placebo","baseline","OLS",0.0385901035980785,0.0170037536145796,0.02417682416172,NA,237
"placebo","baseline","IV-LP",0.0739392238896783,0.0500021624835927,0.14060130117188,19.83424113244,237
"placebo","baseline","IV-H",0.191896956069407,0.240807121990468,0.4263471994433,1.7180315261196,237
"placebo","baseline","IV-B",0.0870071546945241,0.0408355495616952,0.0341917476441711,11.8422834010715,237
"placebo","with_area","OLS",0.0371146565639069,0.0179185390540877,0.0394661536717516,NA,237
"placebo","with_area","IV-LP",0.0739912076637116,0.0667082905752142,0.268533323161891,13.7485672654122,237
"placebo","with_area","IV-H",0.278325110589894,0.49152947457419,0.571790463204542,0.611970922905689,237
"placebo","with_area","IV-B",0.0896762953895913,0.0569431226960018,0.116692232157228,8.04618815973022,237
"mfg_valprod","baseline","OLS",0.0855558377104275,0.0398987583679019,0.0328102856033159,NA,310
"mfg_valprod","baseline","IV-LP",0.26899801272748,0.136339121045918,0.0494125471185348,22.4898092126771,310
"mfg_valprod","baseline","IV-H",0.450539028730475,0.294100837738483,0.126595926797534,7.04953546435811,310
"mfg_valprod","baseline","IV-B",0.316824472045926,0.120365430118754,0.00892268959041635,16.5132962335848,310
"mfg_valprod","with_area","OLS",0.0626976008215674,0.0390698839573962,0.109603349909846,NA,310
"mfg_valprod","with_area","IV-LP",0.135652002770298,0.153145947520613,0.376453581790667,15.9679299720437,310
"mfg_valprod","with_area","IV-H",0.379871814198489,0.324588995400777,0.242805623104394,5.11335893901461,310
"mfg_valprod","with_area","IV-B",0.202557773792455,0.132660612555973,0.127846202676126,12.2875445191063,310
"mfg_wagemass","baseline","OLS",0.115957321097096,0.0375265050554649,0.00218980320179569,NA,309
"mfg_wagemass","baseline","IV-LP",0.282874845843923,0.141261359452912,0.0461344769865603,23.5582234766671,309
"mfg_wagemass","baseline","IV-H",0.657246055835809,0.343149668478493,0.0564037508024007,7.04337419113495,309
"mfg_wagemass","baseline","IV-B",0.378406728138287,0.123749972188876,0.00243105209595402,17.0591499317005,309
"mfg_wagemass","with_area","OLS",0.0908450355509416,0.036060942847239,0.012284987267033,NA,309
"mfg_wagemass","with_area","IV-LP",0.143334666887266,0.154618193627751,0.354664620378146,17.201821723843,309
"mfg_wagemass","with_area","IV-H",0.606793990949791,0.389512738523356,0.120335285623035,5.06460490149155,309
"mfg_wagemass","with_area","IV-B",0.263531581829372,0.13393992481531,0.0500486951350298,12.8883759318446,309
