"geolev2","d_1960_km","d_1986_km","c_local_60","leg_1960","leg_1986","delta_d_km","leg_1986_fixc","delta_leg","median_tau","land_share_pair_60","land_share_oneend_60"
"32002001",0,0,1.87399995326996,0,0,0,0,0,2338735.41054103,0.393221379557944,0
"32006001",0,0,1.77699995040894,0,0,0,0,0,2430602.75290588,0.378359138882111,0
"32006002",3.51347583007813,3.51347583007813,146.886077880859,515126.61617402,515303.158469986,0,515126.61617402,0,3336106.82556568,0.430072373502216,0.154409508780245
"32006003",1.24220129394531,0,155.00666809082,182124.761946294,0,-1.24220129394531,0,-182124.761946294,2404269.53826845,0.458253747744831,0.0757505591812556
"32006004",4.96880517578125,4.4788203125,140.839706420898,728499.047785178,656885.194283366,-0.48998486328125,656660.146137476,-71838.9016477019,3404686.24699389,0.484079792607713,0.213969509944828
"32006005",1.75673791503906,1.75673791503906,150.944778442383,257563.30808701,257651.579234993,0,257563.30808701,0,2391733.90223026,0.492196925227861,0.107688948108665
"32006006",0,0,1.77699995040894,0,0,0,0,0,2159909.95454609,0.425777362902716,0
"32006007",3.928185546875,3.51347583007813,140.770965576172,575929.087413251,515303.158469986,-0.414709716796875,515126.61617402,-60802.4712392315,3282243.45256934,0.455654759794395,0.175468119819818
"32006008",0,0,0.620999991893768,0,0,0,0,0,2215972.93131587,0.415005414352179,0
"32006009",16.338607421875,16.338607421875,146.321655273438,2395477.28838056,2396298.25753096,0,2395477.28838056,0,5005912.80033712,0.662240471450335,0.478529567718248
"32006010",1.24220129394531,1.24220129394531,159.69384765625,182124.761946294,182187.17907369,0,182124.761946294,0,2337194.996713,0.471405050947721,0.077924504460446
"32006011",1.24220129394531,1.24220129394531,158.691024780273,182124.761946294,182187.17907369,0,182124.761946294,0,2404514.1491821,0.458207129650295,0.0757428530866597
"32006012",2.777646484375,2.777646484375,156.827880859375,407243.340675533,407382.909612805,0,407243.340675533,0,2563923.35731126,0.517520970915827,0.158836004014801
"32006013",0,0,1.87399995326996,0,0,0,0,0,2936708.13975608,0.313153613089498,0
"32006014",0,2.48440258789062,1.77699995040894,0,364374.358147379,2.48440258789062,364249.523892589,364249.523892589,2347863.076625,0.391692673099113,0
"32006015",3.51347583007813,3.51347583007813,163.137512207031,515126.61617402,515303.158469986,0,515126.61617402,0,2862043.29578428,0.501308761765189,0.179985612702921
"32006016",3.72660375976562,1.24220129394531,152.246124267578,546374.267941602,182187.17907369,-2.48440246582031,182124.761946294,-364249.505995307,2801304.28304385,0.523333020753678,0.195042813181266
"32006017",0,0,1.77699995040894,0,0,0,0,0,2392491.77892331,0.384386175390672,0
"32006018",17.301861328125,17.301861328125,151.63835144043,2536704.30949599,2537573.67945072,0,2536704.30949599,0,6097903.69482347,0.566808734120227,0.415996125299487
