============================================================================== 
ICEBERG TAU NORMALIZATION SWEEP (Decision A option 1a; Cote 1.5) 
tau' = 1 + cost/V ; MA = sum Pop_j / tau'^theta ; 1960 pop weights 
Table 9 spec, total population, HC1; baseline logMA control is the 
V-specific iceberg 1960 logMA. V in 1960 pesos/ton (raster/1000). 
V is NOT sourced yet (archive lookup, issue #68 visit): read the 
curve, do not pick a point. V->0 = raw tau (scale cancels); 
V->Inf: tau'->1, Delta log MA -> 0 for every district (no 
regression exists at that limit). 
Generated: 2026-07-25 10:45:48 
============================================================================== 
 
---- theta = 4.55 (main-spec continuity) 
V (p/t)   tau' p10/p50/p90       gain%  dlmMean  OLS b (SE)         IV-B b (SE)        F(IVB) 
raw       1.57e+06/4.44e+06/1.06e+07  90.7%  +1.507    +0.025 (0.012)    +0.052 (0.031)   16.2 
100       16.7/45.4/107           91.7%  +1.386    +0.029 (0.014)    +0.074 (0.038)   14.6 
500       4.15/9.88/22.2          92.3%  +1.120    +0.031 (0.019)    +0.093 (0.051)   15.1 
1000      2.57/5.44/11.6          93.6%  +0.953    +0.029 (0.023)    +0.101 (0.062)   15.5 
2000      1.79/3.22/6.29          94.6%  +0.769    +0.027 (0.030)    +0.108 (0.078)   17.1 
4400      1.36/2.01/3.4           95.2%  +0.555    +0.025 (0.045)    +0.124 (0.105)   20.6 
10000     1.16/1.44/2.06          95.5%  +0.358    +0.019 (0.074)    +0.159 (0.161)   25.6 
20000     1.08/1.22/1.53          97.1%  +0.226    +0.003 (0.120)    +0.213 (0.253)   29.9 
50000     1.03/1.09/1.21          98.1%  +0.111    -0.060 (0.248)    +0.351 (0.522)   34.7 
1e+05     1.02/1.04/1.11          99.0%  +0.061    -0.186 (0.453)    +0.552 (0.959)   37.2 
 
---- theta = 8.22 (D&H preferred; the exponent tau' ~ 1 is built for) 
V (p/t)   tau' p10/p50/p90       gain%  dlmMean  OLS b (SE)         IV-B b (SE)        F(IVB) 
raw       1.57e+06/4.44e+06/1.06e+07  88.5%  +3.054    +0.010 (0.006)    +0.024 (0.016)   13.3 
100       16.7/45.4/107           89.4%  +2.779    +0.012 (0.007)    +0.035 (0.021)   12.2 
500       4.15/9.88/22.2          91.0%  +2.181    +0.016 (0.009)    +0.045 (0.027)   14.6 
1000      2.57/5.44/11.6          92.0%  +1.796    +0.018 (0.012)    +0.050 (0.032)   16.4 
2000      1.79/3.22/6.29          92.9%  +1.392    +0.018 (0.016)    +0.056 (0.040)   17.9 
4400      1.36/2.01/3.4           94.6%  +0.972    +0.016 (0.024)    +0.067 (0.057)   20.7 
10000     1.16/1.44/2.06          95.5%  +0.614    +0.013 (0.041)    +0.088 (0.088)   25.5 
20000     1.08/1.22/1.53          95.5%  +0.389    +0.005 (0.067)    +0.120 (0.140)   29.8 
50000     1.03/1.09/1.21          97.1%  +0.193    -0.028 (0.138)    +0.198 (0.289)   34.5 
1e+05     1.02/1.04/1.11          99.0%  +0.107    -0.090 (0.254)    +0.315 (0.533)   37.0 
 
Full grid incl. IV-LP / IV-H columns: diagnostic_ma_iceberg.csv 
