"theta","V_pesos","V_raster","anchor","outcome","label","ivb_beta","ivb_se","ivb_p","ivb_F","ivlp_beta","ivlp_se","ivlp_p","ivlp_F","n_obs"
4.14,0,0,"raw (V->0)","chg_log_pop_91_60","population",0.0588062653874148,0.034722066905231,0.0913704977110715,16.5067478796308,0.0516394488182799,0.044327256698552,0.244957886745932,22.9770941901699,311
4.14,0,0,"raw (V->0)","chg_log_valprod_85_54","mfg value",0.358651239188327,0.134947963797003,0.00828922356352054,16.8574507413522,0.303093958956737,0.151430391025784,0.0462345415411491,23.3586229600569,310
4.14,0,0,"raw (V->0)","chg_log_massal_85_54","mfg wage mass",0.427170463307202,0.13857774089854,0.00224381504298856,17.4207059153943,0.319244306334512,0.156943838093599,0.0428208122642404,24.4553434481426,309
4.14,0,0,"raw (V->0)","chg_log_nestab_85_54","mfg establish.",0.0745460110502745,0.0671198186056082,0.267612352243181,16.8574507413522,0.065032254533602,0.0810860944224107,0.423179180239726,23.3586229600569,310
4.14,0,0,"raw (V->0)","chg_log_nexp_88_60","ag farms",0.109557515073981,0.0879343069123139,0.213816522222492,15.4835117328187,0.116881804169019,0.111479492924256,0.29530877487517,22.8580039461364,297
4.14,0,0,"raw (V->0)","chg_log_areatot_ha_88_60","ag farmed area",0.114989311815819,0.086275176536165,0.183647874278078,15.4835117328187,0.104385506149401,0.104915058997042,0.320597448374563,22.8580039461364,297
4.14,100,1e+05,"affine","chg_log_pop_91_60","population",0.083921867064937,0.0427100485250995,0.0503428917342374,14.7870166236715,0.103786742047846,0.0595337202653111,0.0822975737086387,14.8025778050985,311
4.14,100,1e+05,"affine","chg_log_valprod_85_54","mfg value",0.541724208945864,0.167995473578103,0.00140048752852671,15.1553753600214,0.512024750887449,0.213331141454515,0.0169980298549383,15.1313404866462,310
4.14,100,1e+05,"affine","chg_log_massal_85_54","mfg wage mass",0.663974379085873,0.178098133041248,0.000230685023126187,15.6480418886361,0.539582664939571,0.227946989332473,0.018562831575224,16.1643129615161,309
4.14,100,1e+05,"affine","chg_log_nestab_85_54","mfg establish.",0.112595922777997,0.0868457407610982,0.195798002353868,15.1553753600214,0.128886278046375,0.116449005615594,0.269265170723631,15.1313404866462,310
4.14,100,1e+05,"affine","chg_log_nexp_88_60","ag farms",0.160435634936322,0.110343377992838,0.147048104679278,12.3427048501356,0.227238597016521,0.181174106940892,0.210769759857788,13.6980493762784,297
4.14,100,1e+05,"affine","chg_log_areatot_ha_88_60","ag farmed area",0.162856625089857,0.115677006357694,0.160255780107066,12.3427048501356,0.183231505315912,0.175758203011379,0.298047852435796,13.6980493762784,297
4.14,500,5e+05,"affine","chg_log_pop_91_60","population",0.104262275522366,0.0575730329114365,0.0711443779843097,14.9030145153008,0.1631634725286,0.0891828297992263,0.06830794849747,10.7036296885786,311
4.14,500,5e+05,"affine","chg_log_valprod_85_54","mfg value",0.825178511267871,0.240467457389866,0.000684378875624746,15.2381585816743,0.868143130465464,0.354625857695536,0.0149357793760224,10.961383948423,310
4.14,500,5e+05,"affine","chg_log_massal_85_54","mfg wage mass",1.00340064800565,0.261807113765894,0.000154585438155314,15.925636103078,0.888336840709887,0.379301416954449,0.0198350879331431,12.4313908764589,309
4.14,500,5e+05,"affine","chg_log_nestab_85_54","mfg establish.",0.126849588188367,0.122246682843274,0.300267444842578,15.2381585816743,0.183639882283255,0.187845020155961,0.329053043661094,10.961383948423,310
4.14,500,5e+05,"affine","chg_log_nexp_88_60","ag farms",0.223744418997577,0.150657401481295,0.138609396827038,10.7865813436116,0.435907799007017,0.343928416196958,0.206026264582175,8.64953125954355,297
4.14,500,5e+05,"affine","chg_log_areatot_ha_88_60","ag farmed area",0.234176908129878,0.168659535771326,0.166073892485341,10.7865813436116,0.337148989967064,0.334259289087745,0.313994490696789,8.64953125954355,297
4.14,1000,1e+06,"affine","chg_log_pop_91_60","population",0.111709459999412,0.0693671915450156,0.108357027886551,15.3929173269745,0.190883140234267,0.114578268577968,0.096761114677424,9.58039054190213,311
4.14,1000,1e+06,"affine","chg_log_valprod_85_54","mfg value",1.02717844060386,0.29908480042915,0.000677505417372724,15.7116189622433,1.13201135217303,0.490950373149957,0.02180617555499,9.80914468555111,310
4.14,1000,1e+06,"affine","chg_log_massal_85_54","mfg wage mass",1.24133898356151,0.329039336234371,0.000194744385675088,16.5095606573378,1.13371875415711,0.518314823717028,0.0294937354877547,11.5586798333906,309
4.14,1000,1e+06,"affine","chg_log_nestab_85_54","mfg establish.",0.12457893042007,0.150924234836873,0.40977761887967,15.7116189622433,0.197582880139063,0.252402492579738,0.434356913134492,9.80914468555111,310
