"outcome","label","spec","k_instr","n_obs","F_eff","B","cv_tau05","keff_tau05","cvcons_tau05","pass_tau05","cv_tau10","keff_tau10","cvcons_tau10","pass_tau10","cv_tau20","keff_tau20","cvcons_tau20","pass_tau20","cv_tau30","keff_tau30","cvcons_tau30","pass_tau30"
"chg_log_pop_91_60","T9 total pop","IV-LP",1,311,22.6361570713349,1,37.4175615456975,1,37.4175615456975,FALSE,23.1085112116065,1,23.1085112116065,FALSE,15.0615525357793,1,15.0615525357793,TRUE,12.0450369983776,1,12.0450369983776,TRUE
"chg_log_pop_91_60","T9 total pop","IV-H",1,311,4.27183631105337,1,37.4175615456975,1,37.4175615456975,FALSE,23.1085112116065,1,23.1085112116065,FALSE,15.0615525357793,1,15.0615525357793,FALSE,12.0450369983776,1,12.0450369983776,FALSE
"chg_log_pop_91_60","T9 total pop","IV-B",2,311,13.1136367246785,0.255125209346675,12.8360412891725,1.73352910457865,33.2644374292365,TRUE,8.64494122547845,1.74919792756274,19.9868338306542,TRUE,6.22623712601705,1.7745015268323,12.6768069879631,TRUE,5.30741360775724,1.79404790078979,9.99156766091683,TRUE
"chg_log_urbpop_91_60","T9 urban pop","IV-B",2,286,12.5988618817093,0.148139404078747,9.20212903470746,1.84240287881324,32.884854242703,TRUE,6.52977722154402,1.85879412259467,19.7083380333024,TRUE,4.97523964270525,1.88216173959908,12.4726424606781,TRUE,4.38791159443236,1.89801925797641,9.82202400198999,TRUE
"chg_log_rur_91_60","T9 rural pop","IV-B",2,272,8.36704195175408,0.296389605051578,14.5156871250669,1.56229810186161,33.9720932230072,FALSE,9.67277808839044,1.57942315691178,20.5092244825796,FALSE,6.87130861228984,1.60800532161108,13.0638750862046,TRUE,5.80184268198792,1.63090749630309,10.316130133453,TRUE
"chg_urbshr_91_60","T9 urban share","IV-B",2,311,13.1136367246785,0.179091383165382,10.4056156841528,1.74047570435985,33.2644374292365,TRUE,7.24865358736234,1.76079748858094,19.9868338306542,TRUE,5.40910064485224,1.79138836045837,12.6768069879631,TRUE,4.70959569128605,1.81331887751114,9.99156766091683,TRUE
"chg_log_valprod_85_54","T10 mfg value","IV-B",2,310,13.4081639433544,0.181212792234511,10.4759390426653,1.74010750099993,33.2648512019805,TRUE,7.28932050222048,1.76026868145998,19.98713807085,TRUE,5.43297447684006,1.79069661196195,12.6770308722792,TRUE,4.72703078511896,1.81256882443377,9.99175422506761,TRUE
"chg_log_massal_85_54","T10 wage mass","IV-B",2,309,13.7640168881023,0.167548745416356,9.99823203478018,1.75477443203378,33.2136529984587,TRUE,7.00966700158823,1.77538193911996,19.9495037366463,TRUE,5.2669117133277,1.80590777020179,12.6493504224422,TRUE,4.60494147862396,1.82743377979677,9.96869850096395,TRUE
"chg_log_nestab_85_54","T10 establish.","IV-B",2,310,13.4081639433544,0.168092917009852,10.0395822109009,1.74183704209046,33.2648512019805,TRUE,7.03691407916785,1.76306542856459,19.98713807085,TRUE,5.28487321100036,1.79457053825697,12.6770308722792,TRUE,4.61898637664325,1.81682998770257,9.99175422506761,TRUE
"chg_log_nexp_88_60","T10 farms","IV-B",2,297,12.6703513947,0.270507264335596,13.3844689880848,1.69941469114488,33.3958974027039,FALSE,8.96985778197164,1.71542501439172,20.0835658298999,TRUE,6.42310192249875,1.74159780498559,12.7480820822337,TRUE,5.45494011781708,1.7620891537117,10.0510314720535,TRUE
"chg_log_areatot_ha_88_60","T10 farmed area","IV-B",2,297,12.6703513947,0.251963299717757,12.809393851152,1.70067387373948,33.3958974027039,FALSE,8.64119181426279,1.71759616247413,20.0835658298999,TRUE,6.23114491453766,1.74492170833694,12.7480820822337,TRUE,5.31417938899159,1.76602805876239,10.0510314720535,TRUE
