"part","stat","var","value","se","p_value","n_obs"
"1_coverage","q5%","cov60",0.272393214377313,NA,NA,311
"1_coverage","q25%","cov60",0.465154329250608,NA,NA,311
"1_coverage","q50%","cov60",0.597710437710438,NA,NA,311
"1_coverage","q75%","cov60",0.740157687472699,NA,NA,311
"1_coverage","q95%","cov60",0.874699038812127,NA,NA,311
"1_corr_raw","cov60","chg_logMA_86_60_s0_elow",-0.264800938605122,NA,NA,311
"1_corr_raw","cov60","chg_logMA_stu_s0_elow",0.032753826496784,NA,NA,311
"1_corr_raw","cov60","chg_logMA_lcp_mst_s0_elow",-0.0591299012770166,NA,NA,311
"1_corr_raw","cov60","chg_log_pop_91_60",-0.793645051229413,NA,NA,311
"1_corr_raw","cov60","dist_to_BA_std",-0.453418157408061,NA,NA,311
"1_corr_raw","cov60","urbshr_1960",0.428850413608001,NA,NA,311
"1_corr_raw","urbshr_1960","chg_logMA_86_60_s0_elow",-0.125592843941681,NA,NA,311
"1_corr_raw","urbshr_1960","chg_logMA_stu_s0_elow",0.100479354298642,NA,NA,311
"1_corr_raw","urbshr_1960","chg_logMA_lcp_mst_s0_elow",0.0316507018088451,NA,NA,311
"1_corr_raw","urbshr_1960","chg_log_pop_91_60",-0.252736916281844,NA,NA,311
"1_corr_raw","urbshr_1960","dist_to_BA_std",-0.33984833340893,NA,NA,311
"1_cond_instr","growth_gap_70_60","chg_logMA_stu_s0_elow",0.000600399074229457,0.00787338477800896,0.939265628649636,311
"1_cond_instr","growth_gap_70_60","chg_logMA_lcp_mst_s0_elow",0.00885692305900707,0.0111399291056997,0.427206582652026,311
"1_cond_instr","growth_gap_70_60","joint_F",0.322642024247407,NA,0.724484053292311,311
"1_cond_treat","growth_gap_70_60","partial_corr",0.138627229148572,NA,0.0589555737551808,311
"1_cond_instr","cov60","chg_logMA_stu_s0_elow",0.000430806801030853,0.00401635119792963,0.914651850899354,311
"1_cond_instr","cov60","chg_logMA_lcp_mst_s0_elow",-0.00240392864910375,0.00472879276137946,0.611574571766279,311
"1_cond_instr","cov60","joint_F",0.14006721346448,NA,0.869356620075795,311
"1_cond_treat","cov60","partial_corr",-0.118668892870939,NA,0.0668664298856853,311
"1_cond_instr","urbshr_1960","chg_logMA_stu_s0_elow",0.0157288909252458,0.00573091959364679,0.00642427792014652,311
"1_cond_instr","urbshr_1960","chg_logMA_lcp_mst_s0_elow",0.0121083665455958,0.00754349681425172,0.10951517310438,311
"1_cond_instr","urbshr_1960","joint_F",4.13287989508772,NA,0.0169587914525435,311
"1_cond_treat","urbshr_1960","partial_corr",0.0699742286796021,NA,0.272197337290261,311
"1_identity","max_abs_dev","log_cov_plus_gap",1.77635683940025e-15,NA,NA,311
"1_beta","as_published","OLS",0.0282488681329364,0.0138968734287272,0.0429552307854986,311
"1_beta","as_published","IV-LP",0.0516394488182799,0.044327256698552,0.244957886745932,311
"1_beta","as_published","IV-H",0.0802503332901783,0.0777546680238996,0.302855394443489,311
"1_beta","as_published","IV-B",0.0588062653874148,0.034722066905231,0.0913704977110715,311
"1_beta","plus_cov60","OLS",0.0104574279982266,0.0101141090877878,0.301994837521325,311
"1_beta","plus_cov60","IV-LP",0.0559894234534486,0.0327556383071578,0.0884283172164331,311
"1_beta","plus_cov60","IV-H",0.0490334330438535,0.0687457347366942,0.47624069057737,311
"1_beta","plus_cov60","IV-B",0.0543158219626114,0.0289374974574179,0.0614877960797793,311
"1_free","ols_free_logcov","chg_logMA_86_60_s0_elow",0.00671545557174556,0.0102503282881164,0.512876164277616,311
"1_free","ols_free_logcov","log_cov60",-0.953742278826179,0.0702137755010522,4.39815683583053e-33,311
"2_window","pop_91_60_published","OLS",0.0282488681329364,0.0138968734287272,0.0429552307854986,311
"2_window","pop_91_60_published","IV-LP",0.0516394488182799,0.044327256698552,0.244957886745932,311
"2_window","pop_91_60_published","IV-H",0.0802503332901783,0.0777546680238996,0.302855394443489,311
"2_window","pop_91_60_published","IV-B",0.0588062653874148,0.034722066905231,0.0913704977110715,311
"2_firstF","pop_91_60_published","IV-H",4.00465929640858,NA,NA,311
"2_window","pop_91_70_consistent","OLS",0.00567105750290752,0.00992458719944204,0.568144815416502,311
"2_window","pop_91_70_consistent","IV-LP",0.0518745384754612,0.0332291199582253,0.119546934741346,311
"2_window","pop_91_70_consistent","IV-H",0.0181448314363289,0.0676898525527182,0.788837995710735,311
"2_window","pop_91_70_consistent","IV-B",0.0434254944229917,0.0304975631955545,0.155511086070036,311
"2_firstF","pop_91_70_consistent","IV-H",4.00465929640858,NA,NA,311
"2_window","urbshr_91_60_published","OLS",0.00126274054106716,0.00603422236550734,0.834384350683513,311
"2_window","urbshr_91_60_published","IV-LP",0.00357191355603229,0.0195092220268935,0.854851866785931,311
"2_window","urbshr_91_60_published","IV-H",-0.0300788797118029,0.0453015556192129,0.50721769263293,311
"2_window","urbshr_91_60_published","IV-B",-0.00485736317589587,0.0176137820825534,0.782913498716676,311
"2_firstF","urbshr_91_60_published","IV-H",4.00465929640858,NA,NA,311
"2_window","urbshr_91_80_consistent","OLS",0.00146267508696205,0.00204683094795476,0.475407151986549,311
"2_window","urbshr_91_80_consistent","IV-LP",0.00939597481644699,0.00724843365352823,0.195873192083569,311
"2_window","urbshr_91_80_consistent","IV-H",-0.00721821772255745,0.0124003808183582,0.560937441363239,311
"2_window","urbshr_91_80_consistent","IV-B",0.00523424152612105,0.0061679469757817,0.396767288281876,311
"2_firstF","urbshr_91_80_consistent","IV-H",4.00465929640858,NA,NA,311
