"outcome","spec","vcov","cutoff_km","estimate","std_err","p_value","n_obs","vcov_psd_fixed"
"chg_log_placebo_pop_60_47","OLS","HC1",NA,0.0322708940935272,0.021340561434665,0.131877509953448,237,FALSE
"chg_log_placebo_pop_60_47","OLS","Conley",100,0.0322708940935272,0.0180985682856216,0.0759121812245985,237,FALSE
"chg_log_placebo_pop_60_47","OLS","Conley",250,0.0322708940935272,0.0163443974184093,0.0495449851861019,237,FALSE
"chg_log_placebo_pop_60_47","OLS","Conley",500,0.0322708940935272,0.0162954110026296,0.0488698852038839,237,TRUE
"chg_log_placebo_pop_60_47","OLS","Conley",1000,0.0322708940935272,0.0105097095719461,0.0023969273874455,237,TRUE
"chg_log_placebo_pop_60_47","IV-LP","HC1",NA,0.055788846804712,0.0637443638823956,0.382392058881621,237,FALSE
"chg_log_placebo_pop_60_47","IV-LP","Conley",100,0.055788846804712,0.0513278510707252,0.278228566586891,237,FALSE
"chg_log_placebo_pop_60_47","IV-LP","Conley",250,0.055788846804712,0.0364598227940313,0.127372958841333,237,FALSE
"chg_log_placebo_pop_60_47","IV-LP","Conley",500,0.055788846804712,0.0301018292694186,0.0651316304280731,237,TRUE
"chg_log_placebo_pop_60_47","IV-LP","Conley",1000,0.055788846804712,0.0319748537698884,0.0823778124375771,237,TRUE
"chg_log_placebo_pop_60_47","IV-H","HC1",NA,0.396534172178519,0.47222272314119,0.401949725143892,237,FALSE
"chg_log_placebo_pop_60_47","IV-H","Conley",100,0.396534172178519,0.381467773934294,0.299680107784542,237,FALSE
"chg_log_placebo_pop_60_47","IV-H","Conley",250,0.396534172178519,0.29795791615257,0.184577019680932,237,TRUE
"chg_log_placebo_pop_60_47","IV-H","Conley",500,0.396534172178519,0.25871441363108,0.126739792453198,237,TRUE
"chg_log_placebo_pop_60_47","IV-H","Conley",1000,0.396534172178519,0.143142844769011,0.0060660361572359,237,TRUE
"chg_log_placebo_pop_60_47","IV-B","HC1",NA,0.0912769296450014,0.0541780596582943,0.0934095378698689,237,FALSE
"chg_log_placebo_pop_60_47","IV-B","Conley",100,0.0912769296450014,0.0391990032969047,0.0207621807760575,237,FALSE
"chg_log_placebo_pop_60_47","IV-B","Conley",250,0.0912769296450014,0.0381700767309627,0.0176035468472473,237,FALSE
"chg_log_placebo_pop_60_47","IV-B","Conley",500,0.0912769296450014,0.0483565503527348,0.0603579003939823,237,TRUE
"chg_log_placebo_pop_60_47","IV-B","Conley",1000,0.0912769296450014,0.041816927383118,0.0300778630130425,237,TRUE
"chg_log_pop_91_60","OLS","HC1",NA,0.0282488681329364,0.0138968734287272,0.0429552307854986,311,FALSE
"chg_log_pop_91_60","OLS","Conley",100,0.0282488681329364,0.0136007166365816,0.0386482797516564,311,FALSE
"chg_log_pop_91_60","OLS","Conley",250,0.0282488681329364,0.0124348393494971,0.0238070982076166,311,FALSE
"chg_log_pop_91_60","OLS","Conley",500,0.0282488681329364,0.00916838104945113,0.00225286265611509,311,TRUE
"chg_log_pop_91_60","OLS","Conley",1000,0.0282488681329364,0.0141824347692747,0.0472940399573315,311,TRUE
"chg_log_pop_91_60","IV-LP","HC1",NA,0.0516394488182799,0.044327256698552,0.244957886745932,311,FALSE
"chg_log_pop_91_60","IV-LP","Conley",100,0.0516394488182799,0.0417529553023774,0.217130834705064,311,FALSE
"chg_log_pop_91_60","IV-LP","Conley",250,0.0516394488182799,0.0427019264858414,0.227496518356809,311,TRUE
"chg_log_pop_91_60","IV-LP","Conley",500,0.0516394488182799,0.0368963541419554,0.162668468535192,311,TRUE
"chg_log_pop_91_60","IV-LP","Conley",1000,0.0516394488182799,0.0386353369862261,0.18236723544312,311,TRUE
"chg_log_pop_91_60","IV-H","HC1",NA,0.0802503332901783,0.0777546680238996,0.302855394443489,311,FALSE
"chg_log_pop_91_60","IV-H","Conley",100,0.0802503332901783,0.0724932926481839,0.269176272116744,311,FALSE
"chg_log_pop_91_60","IV-H","Conley",250,0.0802503332901783,0.0804776649351374,0.319480416979348,311,TRUE
"chg_log_pop_91_60","IV-H","Conley",500,0.0802503332901783,0.0717970432025656,0.264569934772316,311,TRUE
"chg_log_pop_91_60","IV-H","Conley",1000,0.0802503332901783,0.059040964253275,0.175090751771909,311,TRUE
"chg_log_pop_91_60","IV-B","HC1",NA,0.0588062653874148,0.034722066905231,0.0913704977110715,311,FALSE
"chg_log_pop_91_60","IV-B","Conley",100,0.0588062653874148,0.0345065374662427,0.0893744835433419,311,FALSE
"chg_log_pop_91_60","IV-B","Conley",250,0.0588062653874148,0.0325745371342733,0.0720294946994615,311,TRUE
"chg_log_pop_91_60","IV-B","Conley",500,0.0588062653874148,0.0308219763740058,0.0573512390490414,311,TRUE
"chg_log_pop_91_60","IV-B","Conley",1000,0.0588062653874148,0.0369410654260744,0.112458105995544,311,TRUE
