"quantity","value","source","note"
"rail_km_1960",42780.0030040195,"map, district-clipped","status 1+2+3; assumes status-3 segments open in 1960"
"rail_km_1986",33303.3263571761,"map, district-clipped","status 1"
"rail_km_lost",9476.67664684344,"map, district-clipped",""
"rail_km_dictatorship",5562.57946087426,"map, district-clipped","status 2, closed 1976-1983"
"rail_km_closed_pre1976",3914.09718596918,"map, district-clipped","status 3, closed before 1976 -- window NOT 1960-1966"
"rail_pct_fall",22.1521177685589,"map, district-clipped",""
"rail_share_dictatorship",58.6975758292554,"map, district-clipped",""
"rail_share_closed_pre1976",41.3024241707447,"map, district-clipped",""
"rail_km_1960_unclipped",42789.8551063239,"map, segments",""
"rail_km_network_pre1976",38868.2322230879,"map, segments","status 1+2 = the network STANDING before 1976, not the km closed"
"rail_km_1986_unclipped",33304.1464160449,"map, segments",""
"rail_km_clip_loss",9.85210230443045,"map","unclipped minus district-clipped"
"rail_clip_loss_pct",0.0230243880937433,"map","on the 1960 total"
"rail_clip_loss_pct_status3",0.191902625287931,"map","worst bucket; the paper prints this bucket's km"
"rail_km_studied",20866.7070794532,"map, segments","studied_co == 1, the instrument's classification"
"rail_km_studied_ex_newstudy",15944.9332899455,"map, segments","studied minus recom_code 3 (new study)"
"rail_km_newstudy",4921.77378950767,"map, segments","studied and recom_code == 3"
"rail_studied_share",48.7655474121231,"map, segments",""
"rail_studied_share_ex_newstudy",37.2633495727566,"map, segments",""
"n_segments",565,"map",""
"n_studied",237,"map","Larkin Plan studied segments (the instrument)"
"n_not_studied",328,"map",""
"n_districts_no_rail",30,"map, district-clipped",""
