"block","outcome","spec","stat","value","S_perm"
"a_variance","z_obs","on_mu","r2",0.391441349871449,100
"a_variance","z_obs","on_mu","slope",0.939340352662243,100
"a_variance","z_obs","sd","sd_z",2.23095598570121,100
"a_variance","z_rec","sd","sd_zrec",1.74270513465008,100
"b_span","mu","on_controls","r2",0.166358383412021,100
"c_spec_test","z_rec","joint","T_obs",85.6217020381351,100
"c_spec_test","z_rec","joint","ri_p",0.247524752475248,100
"c_spec_test","z_rec","on_controls","r2",0.0739624333242769,100
"c_spec_test","z_obs","on_controls","r2",0.100084819565541,100
"d_estimates","population","unadjusted","coef",0.0455977482707399,100
"d_estimates","population","unadjusted","se",0.0398648349407398,100
"d_estimates","population","unadjusted","p",0.253611771051744,100
"d_estimates","population","unadjusted","F",22.1240648551298,100
"d_estimates","population","unadjusted","N",311,100
"d_estimates","population","recentered","coef",-0.0230728977862237,100
"d_estimates","population","recentered","se",0.0606179290598337,100
"d_estimates","population","recentered","p",0.703747576340569,100
"d_estimates","population","recentered","F",9.58598798087352,100
"d_estimates","population","recentered","N",311,100
"d_estimates","population","mu_control","coef",-0.0172135487146881,100
"d_estimates","population","mu_control","se",0.0554424497059518,100
"d_estimates","population","mu_control","p",0.756414614258601,100
"d_estimates","population","mu_control","F",10.8176934735557,100
"d_estimates","population","mu_control","N",311,100
"d_estimates","population","reduced_form","ri_p",0.712871287128713,100
"d_estimates","mfg_valprod","unadjusted","coef",0.26899801272748,100
"d_estimates","mfg_valprod","unadjusted","se",0.136339121045918,100
"d_estimates","mfg_valprod","unadjusted","p",0.0494125471185348,100
"d_estimates","mfg_valprod","unadjusted","F",22.4898092126771,100
"d_estimates","mfg_valprod","unadjusted","N",310,100
"d_estimates","mfg_valprod","recentered","coef",-0.0606131686321836,100
"d_estimates","mfg_valprod","recentered","se",0.195940057746256,100
"d_estimates","mfg_valprod","recentered","p",0.75727349018646,100
"d_estimates","mfg_valprod","recentered","F",9.56648656682857,100
"d_estimates","mfg_valprod","recentered","N",310,100
"d_estimates","mfg_valprod","mu_control","coef",-0.0323200078270804,100
"d_estimates","mfg_valprod","mu_control","se",0.170789183187007,100
"d_estimates","mfg_valprod","mu_control","p",0.850033739937051,100
"d_estimates","mfg_valprod","mu_control","F",10.8262659597998,100
"d_estimates","mfg_valprod","mu_control","N",310,100
"d_estimates","mfg_valprod","reduced_form","ri_p",0.782178217821782,100
"d_estimates","mfg_wagemass","unadjusted","coef",0.282874845843923,100
"d_estimates","mfg_wagemass","unadjusted","se",0.141261359452912,100
"d_estimates","mfg_wagemass","unadjusted","p",0.0461344769865603,100
"d_estimates","mfg_wagemass","unadjusted","F",23.5582234766671,100
"d_estimates","mfg_wagemass","unadjusted","N",309,100
"d_estimates","mfg_wagemass","recentered","coef",-0.0208710162963314,100
"d_estimates","mfg_wagemass","recentered","se",0.199286388296641,100
"d_estimates","mfg_wagemass","recentered","p",0.916661258153568,100
"d_estimates","mfg_wagemass","recentered","F",9.65954875941148,100
"d_estimates","mfg_wagemass","recentered","N",309,100
"d_estimates","mfg_wagemass","mu_control","coef",0.0245240123359226,100
"d_estimates","mfg_wagemass","mu_control","se",0.170223627682201,100
"d_estimates","mfg_wagemass","mu_control","p",0.885543063292163,100
"d_estimates","mfg_wagemass","mu_control","F",11.7266447163577,100
"d_estimates","mfg_wagemass","mu_control","N",309,100
"d_estimates","mfg_wagemass","reduced_form","ri_p",0.900990099009901,100
"d_estimates","placebo_pretrend","unadjusted","coef",0.0739392238896783,100
"d_estimates","placebo_pretrend","unadjusted","se",0.0500021624835927,100
"d_estimates","placebo_pretrend","unadjusted","p",0.14060130117188,100
"d_estimates","placebo_pretrend","unadjusted","F",19.83424113244,100
"d_estimates","placebo_pretrend","unadjusted","N",237,100
"d_estimates","placebo_pretrend","recentered","coef",0.087943759624977,100
"d_estimates","placebo_pretrend","recentered","se",0.0753102119126753,100
"d_estimates","placebo_pretrend","recentered","p",0.244131302874471,100
"d_estimates","placebo_pretrend","recentered","F",8.82235333598361,100
"d_estimates","placebo_pretrend","recentered","N",237,100
"d_estimates","placebo_pretrend","mu_control","coef",0.0866787171914868,100
"d_estimates","placebo_pretrend","mu_control","se",0.071972063247032,100
"d_estimates","placebo_pretrend","mu_control","p",0.229718583179711,100
"d_estimates","placebo_pretrend","mu_control","F",10.0259454852493,100
"d_estimates","placebo_pretrend","mu_control","N",237,100
"d_estimates","placebo_pretrend","reduced_form","ri_p",0.336633663366337,100
