"block","outcome","spec","stat","value","S_perm"
"bal","match","settlements","n_unmatched",4,100
"bal","dist54_km","early_vs_rest","coef",-58.9756380590217,100
"bal","dist54_km","early_vs_rest","se",16.1668511197881,100
"bal","dist54_km","early_vs_rest","p",0.000333132545495849,100
"bal","dist54_km","early_vs_rest","N",216,100
"bal","log_pop_1947","early_vs_rest","coef",0.05685170633937,100
"bal","log_pop_1947","early_vs_rest","se",0.150088403033568,100
"bal","log_pop_1947","early_vs_rest","p",0.705482713397802,100
"bal","log_pop_1947","early_vs_rest","N",131,100
"bal","log_pop_1960","early_vs_rest","coef",0.0443240875018216,100
"bal","log_pop_1960","early_vs_rest","se",0.11116823360062,100
"bal","log_pop_1960","early_vs_rest","p",0.690516546122313,100
"bal","log_pop_1960","early_vs_rest","N",212,100
"bal","chg_log_placebo_pop_60_47","early_vs_rest","coef",-0.0615863694007417,100
"bal","chg_log_placebo_pop_60_47","early_vs_rest","se",0.0876059952222473,100
"bal","chg_log_placebo_pop_60_47","early_vs_rest","p",0.483357208887802,100
"bal","chg_log_placebo_pop_60_47","early_vs_rest","N",131,100
"bal","rail_dens_1960","early_vs_rest","coef",-0.00193647910683486,100
"bal","rail_dens_1960","early_vs_rest","se",0.00305191299665721,100
"bal","rail_dens_1960","early_vs_rest","p",0.526446580417213,100
"bal","rail_dens_1960","early_vs_rest","N",212,100
"bal","elev_mean_std","early_vs_rest","coef",0.0760445770201497,100
"bal","elev_mean_std","early_vs_rest","se",0.168361379270478,100
"bal","elev_mean_std","early_vs_rest","p",0.651976222384709,100
"bal","elev_mean_std","early_vs_rest","N",212,100
"bal","rugged_mea_std","early_vs_rest","coef",0.197748444569268,100
"bal","rugged_mea_std","early_vs_rest","se",0.109663523504995,100
"bal","rugged_mea_std","early_vs_rest","p",0.0728064705516716,100
"bal","rugged_mea_std","early_vs_rest","N",212,100
"bal","wheat_std","early_vs_rest","coef",-0.0901030469333511,100
"bal","wheat_std","early_vs_rest","se",0.130975926067311,100
"bal","wheat_std","early_vs_rest","p",0.492263273313057,100
"bal","wheat_std","early_vs_rest","N",212,100
"bal","dist_to_BA_std","early_vs_rest","coef",0.0611934804916452,100
"bal","dist_to_BA_std","early_vs_rest","se",0.0914147488634717,100
"bal","dist_to_BA_std","early_vs_rest","p",0.503983175411984,100
"bal","dist_to_BA_std","early_vs_rest","N",212,100
"bal","logMA_actual_1960_s0_elow","early_vs_rest","coef",-0.352232634792602,100
"bal","logMA_actual_1960_s0_elow","early_vs_rest","se",0.592056302143144,100
"bal","logMA_actual_1960_s0_elow","early_vs_rest","p",0.552539382260797,100
"bal","logMA_actual_1960_s0_elow","early_vs_rest","N",212,100
"a_variance","z_obs","on_mu","r2",0.172954318165722,100
"a_variance","z_obs","on_mu","slope",0.427656758110247,100
"a_variance","z_obs","sd","sd_z",0.824203753914846,100
"a_variance","z_rec","sd","sd_zrec",0.878782886414986,100
"a_variance","links_km","draws","mean",8564.40237265116,100
"a_variance","links_km","draws","sd",1899.72092995692,100
"b_span","mu","on_controls","r2",0.19416279220742,100
"c_spec_test","z_rec","joint","T_obs",13.8644468673201,100
"c_spec_test","z_rec","joint","ri_p",0.0495049504950495,100
