"outcome","theta","beta","se","p","stars","F_ivf","F_robust","n_obs"
"population",1,0.371682417410044,0.248435538985607,0.135684442237984,"",10.0813092998426,9.78704797543201,309
"mfg production value",1,2.3604478422381,0.93493985544646,0.0120985485004257,"**",10.3073099546704,10.0334098378996,308
"mfg wage mass",1,3.10654156620769,1.03109450879937,0.0028108414070058,"***",10.998956497771,10.8463521649554,307
"mfg establishments",1,0.428538213262353,0.479919798351523,0.372611343906632,"",10.3073099546704,10.0334098378996,308
"ag farms",1,0.842954891808458,0.577160773407236,0.145241028934088,"",10.4740724343951,10.5514104464429,297
"ag farmed area",1,0.810841757087072,0.60878091061263,0.183946309585432,"",10.4740724343951,10.5514104464429,297
"population",2,0.151972762016479,0.0980999245359808,0.12240034154216,"",12.2861311006738,11.9825822087458,309
"mfg production value",2,0.832950716377805,0.362722364051012,0.0223475024327536,"**",12.544680434217,12.264011854869,308
"mfg wage mass",2,1.06051588126798,0.384151935419174,0.0061271848894397,"***",13.2950972763697,12.9929255286744,307
"mfg establishments",2,0.16352822588223,0.188581777947334,0.386558869363651,"",12.544680434217,12.264011854869,308
"ag farms",2,0.31582338026022,0.239175255586061,0.187730704454009,"",13.0662084835456,13.1758504724155,297
"ag farmed area",2,0.31245482125691,0.238084281788802,0.19044368851699,"",13.0662084835456,13.1758504724155,297
"population",3,0.0835141499433367,0.056409326929652,0.13979212108233,"",13.6796634235634,12.893416633643,309
"mfg production value",3,0.456275891562233,0.205961622027902,0.0274922924863206,"**",13.9752633234234,13.1959285874915,308
"mfg wage mass",3,0.576415267060237,0.217365634683481,0.00843579947827009,"***",14.6724723319099,13.7675029173987,307
"mfg establishments",3,0.0913795289454097,0.107171573377725,0.394539803501684,"",13.9752633234234,13.1959285874915,308
"ag farms",3,0.172448008205743,0.137211218803386,0.209845467380694,"",14.6080501726181,14.3005379309669,297
"ag farmed area",3,0.178068242739741,0.134850203862315,0.18772377923889,"",14.6080501726181,14.3005379309669,297
"population",4.55,0.0457113512151601,0.0330898435473742,0.168177750741903,"",13.5933881938252,13.0507922745697,309
"mfg production value",4.55,0.258764574189628,0.119138705775421,0.0306470130874799,"**",13.8975402215957,13.3706301544492,308
"mfg wage mass",4.55,0.330433846172419,0.125853930106496,0.00909941966766393,"***",14.5049237405937,13.8053531906793,307
"mfg establishments",4.55,0.0545857614255331,0.0610782295755756,0.372202312796335,"",13.8975402215957,13.3706301544492,308
"ag farms",4.55,0.0953846123163002,0.0790943220860787,0.228826034733765,"",14.563850498844,14.7886151841798,297
"ag farmed area",4.55,0.10365826978102,0.0781010341023442,0.185486470338345,"",14.563850498844,14.7886151841798,297
"population",6,0.0306386423368342,0.0239487199744493,0.201767969102589,"",12.7916656091085,12.5050509759926,309
"mfg production value",6,0.181792332514795,0.0854388889716264,0.0341787867489101,"**",13.0719334833653,12.8115663825271,308
"mfg wage mass",6,0.234041167441382,0.0904765471471096,0.0101638161023141,"**",13.608157588771,13.1401435093708,307
"mfg establishments",6,0.039294339063712,0.0430598493154029,0.362216018503227,"",13.0719334833653,12.8115663825271,308
"ag farms",6,0.0642498700377949,0.0559058890308487,0.251409546395311,"",13.7466445494449,14.4601243890874,297
"ag farmed area",6,0.0720018411465952,0.0556027795585364,0.196384299388022,"",13.7466445494449,14.4601243890874,297
"population",8.11,0.0202282151305284,0.0171623452269929,0.239478933324842,"",11.9750473999289,11.8060998651093,309
"mfg production value",8.11,0.127921449563829,0.0608192933014255,0.0362773733176701,"**",12.2326914370966,12.0951707118073,308
"mfg wage mass",8.11,0.165753954361466,0.0645128234530282,0.0106779783842791,"**",12.6835876625146,12.2777089672782,307
"mfg establishments",8.11,0.0274414879496236,0.0300488136218202,0.361859661913533,"",12.2326914370966,12.0951707118073,308
"ag farms",8.11,0.0427110262893615,0.0388876770571587,0.272986309263236,"",12.8964154298127,13.8333210269191,297
"ag farmed area",8.11,0.0485752038265866,0.0388795911110923,0.212545771405916,"",12.8964154298127,13.8333210269191,297
"population",10,0.0152701178877185,0.0136543264627922,0.264321426559307,"",11.6400068070065,11.4815192584124,309
"mfg production value",10,0.101216140871885,0.0482855642563908,0.036907712842769,"**",11.8937807101967,11.7682355546614,308
"mfg wage mass",10,0.132217627635848,0.0512041060310425,0.0102969859752789,"**",12.2970802488267,11.8604067440292,307
"mfg establishments",10,0.021265373165645,0.0235453825049324,0.367167629304792,"",11.8937807101967,11.7682355546614,308
"ag farms",10,0.032806002619633,0.0304127130757379,0.281630029605799,"",12.5468016431639,13.4879917719006,297
"ag farmed area",10,0.0375053784200969,0.0304669757055846,0.219324195814277,"",12.5468016431639,13.4879917719006,297
"population",12,0.0119425543356957,0.0112026342599169,0.287261652170104,"",11.4753794017359,11.3256901878542,309
"mfg production value",12,0.0826713630334738,0.03951942207278,0.037292063779145,"**",11.7316373321704,11.6160675758681,308
"mfg wage mass",12,0.108921179883537,0.0418777844099678,0.00976257455449228,"***",12.1017976480089,11.6454585330712,307
"mfg establishments",12,0.0170238433484046,0.0190851160470344,0.373114864910983,"",11.7316373321704,11.6160675758681,308
"ag farms",12,0.0263866805415047,0.0246444628973701,0.285206590969788,"",12.3682765078158,13.2758807896551,297
"ag farmed area",12,0.0303270027384088,0.0247224272705176,0.220940751550022,"",12.3682765078158,13.2758807896551,297
