"panel","outcome","spec","estimate","std_err","t_value","p_value","n_obs","first_stage_F","effective_F","overid_robust_J","overid_robust_J_p","overid_sargan_p"
"A","chg_log_nestab_85_54","OLS",0.0338050231220638,0.0203617931623438,1.66021837332978,0.0979153509994505,310,NA,NA,NA,NA,NA
"A","chg_log_nestab_85_54","IV-LP",0.065032254533602,0.0810860944224107,0.802014883030651,0.423179180239726,310,23.69477356453,23.6947735645303,NA,NA,NA
"A","chg_log_nestab_85_54","IV-H",0.102723884527155,0.13696438724083,0.750004337598588,0.453839862969506,310,4.11554666188616,4.11554666188715,NA,NA,NA
"A","chg_log_nestab_85_54","IV-B",0.0745460110502745,0.0671198186056082,1.11064083006991,0.267612352243181,310,15.6657700688213,13.3625001747395,0.0531624709853056,0.817648967023617,0.809918854316238
"A","chg_log_valprod_85_54","OLS",0.0991638777007668,0.0454012078190601,2.1841682735836,0.0297239673452541,310,NA,NA,NA,NA,NA
"A","chg_log_valprod_85_54","IV-LP",0.303093958956737,0.151430391025784,2.00153982898406,0.0462345415411491,310,23.69477356453,23.6947735645303,NA,NA,NA
"A","chg_log_valprod_85_54","IV-H",0.52320096361482,0.343049885338677,1.52514542629358,0.128276326070244,310,4.11554666188616,4.11554666188715,NA,NA,NA
"A","chg_log_valprod_85_54","IV-B",0.358651239188327,0.134947963797003,2.65770026532473,0.00828922356352054,310,15.6657700688213,13.3625001747395,0.419317627479814,0.517277731384532,0.501403538429518
"A","chg_log_massal_85_54","OLS",0.13381955502322,0.0424371179478986,3.15336105499704,0.00177805798557384,309,NA,NA,NA,NA,NA
"A","chg_log_massal_85_54","IV-LP",0.319244306334512,0.156943838093599,2.03413087262541,0.0428208122642404,309,24.6063423246958,24.6063423246962,NA,NA,NA
"A","chg_log_massal_85_54","IV-H",0.760693989005857,0.401494691705475,1.8946551591369,0.0591027879058094,309,4.12884496869646,4.12884496869734,NA,NA,NA
"A","chg_log_massal_85_54","IV-B",0.427170463307202,0.13857774089854,3.08253302830182,0.00224381504298856,309,15.9691545601122,13.7276536568713,1.56210644334691,0.211357062824302,0.185500768859804
"B","chg_log_nexp_88_60","OLS",-0.0102411235406031,0.0139350312542651,-0.734919309023331,0.462988716052275,297,NA,NA,NA,NA,NA
"B","chg_log_nexp_88_60","IV-LP",0.116881804169019,0.111479492924256,1.04846013471225,0.29530877487517,297,24.3000790128588,24.3000790128615,NA,NA,NA
"B","chg_log_nexp_88_60","IV-H",0.0804748456108151,0.118612121143303,0.678470672601736,0.498020000367664,297,2.74056520043348,2.74056520043531,NA,NA,NA
"B","chg_log_nexp_88_60","IV-B",0.109557515073981,0.0879343069123139,1.24590184332981,0.213816522222492,297,15.0248009462799,12.4718383182428,0.040625283120173,0.840262950061145,0.808545620077184
"B","chg_log_areatot_ha_88_60","OLS",-0.000676279424941734,0.0202095792520635,-0.0334633104681129,0.973328383981104,297,NA,NA,NA,NA,NA
"B","chg_log_areatot_ha_88_60","IV-LP",0.104385506149401,0.104915058997042,0.99495255635651,0.320597448374563,297,24.3000790128588,24.3000790128615,NA,NA,NA
"B","chg_log_areatot_ha_88_60","IV-H",0.15709400911114,0.15998325621219,0.981940315696426,0.326956283273004,297,2.74056520043348,2.74056520043531,NA,NA,NA
"B","chg_log_areatot_ha_88_60","IV-B",0.114989311815819,0.086275176536165,1.33282035960387,0.183647874278078,297,15.0248009462799,12.4718383182428,0.0728189552259839,0.787275750639629,0.785821591098297
