"panel","label","ols_est","ols_se","ols_p","iv_lp_est","iv_lp_se","iv_lp_p","iv_h_est","iv_h_se","iv_h_p","iv_b_est","iv_b_se","iv_b_p","iv_lp_F","iv_h_F","iv_b_F","n_obs"
"A","Alt. theta = 8.11",0.0101973936649684,0.005874364478419,0.0836022870209577,0.0212468724524329,0.0219765602769648,0.334421670458731,0.0301565462476439,0.0318891296402325,0.345076186616986,0.0243851905581711,0.0163837213339094,0.1376978175184,16.7088777443532,6.0522287230938,13.1776274533281,311
"B","Hypo = LCP-MST (main)",0.0282488681329364,0.0138968734287272,0.0429552307854986,0.0516394488182799,0.044327256698552,0.244957886745932,0.0802503332901783,0.0777546680238996,0.302855394443489,0.0588062653874148,0.034722066905231,0.0913704977110715,23.2752865738175,4.00465929640858,15.3179191645211,311
"B","Hypo = Euclidean-MST",0.0282488681329364,0.0138968734287272,0.0429552307854986,0.0516394488182799,0.044327256698552,0.244957886745932,0.501996737313013,0.505486295964976,0.321460526439247,0.0791320269180699,0.0439989299332159,0.0730997748367714,23.2752865738175,0.776615515503533,12.674192498598,311
"B","Hypo = LCP (bilateral)",0.0282488681329364,0.0138968734287272,0.0429552307854986,0.0516394488182799,0.044327256698552,0.244957886745932,-0.0809104232089915,0.137003340767717,0.555249954223789,0.0325479919361083,0.0374547907735563,0.3855427359715,23.2752865738175,2.26758131082004,12.9025672186707,311
"B","Hypo = Euclidean (bilateral)",0.0282488681329364,0.0138968734287272,0.0429552307854986,0.0516394488182799,0.044327256698552,0.244957886745932,0.0477829657683491,0.086324007035999,0.580311165174799,0.0508674768247706,0.040491362658771,0.20999767153954,23.2752865738175,6.86840791468254,12.6530290477872,311
"C","Placebo subsample (N=237)",0.0359782606308261,0.0152081012328518,0.0188362012348865,0.0701467896054655,0.0457599919551221,0.126685989132854,0.234286497278532,0.226186663925604,0.301392771099907,0.0865575127936998,0.0402951249062609,0.0327656865132005,18.8503516404155,1.14997022619016,10.7801121274466,237
"C","Full sample (for reference)",0.0282488681329364,0.0138968734287272,0.0429552307854986,0.0516394488182799,0.044327256698552,0.244957886745932,0.0802503332901783,0.0777546680238996,0.302855394443489,0.0588062653874148,0.034722066905231,0.0913704977110715,23.2752865738175,4.00465929640858,15.3179191645211,311
"D","(1) No controls",0.0677468888524857,0.0158028994184043,2.42336132665146e-05,0.024095617933602,0.0479121919723824,0.615384379086161,0.0502625335924598,0.0530086890424463,0.343771532067269,0.0361520834364848,0.0343857756914242,0.293911396075804,19.9989607309072,22.8562663804435,24.048237580677,311
"D","(2) + geography",0.0321504528878597,0.0133176296828137,0.0163655472996485,0.0533938945109685,0.0386511263340146,0.168164048571268,0.0147961443487376,0.0390502213283111,0.705027196583377,0.0354468934147291,0.0264043815673191,0.180450979304359,25.6041402387935,26.3486096948905,27.984128987406,311
"D","(3) + baseline log MA",0.0307918572296739,0.0157889692579393,0.0520756781018496,0.0589226406689368,0.0490265750847458,0.230362828035988,-0.0172422089127001,0.105648468266278,0.87046729951124,0.0405471543161715,0.0406554572192754,0.319399836150175,23.253671266717,3.7470799088436,15.135009311296,311
"D","(4) + baseline log pop (main)",0.0282488681329364,0.0138968734287272,0.0429552307854986,0.0516394488182799,0.044327256698552,0.244957886745932,0.0802503332901783,0.0777546680238996,0.302855394443489,0.0588062653874148,0.034722066905231,0.0913704977110715,23.2752865738175,4.00465929640858,15.3179191645211,311
