"panel","outcome","outcome_lab","ols_est","ols_se","ols_p","iv_est","iv_se","iv_p","iv_F","n_obs"
"A","chg_log_valprod_85_54","$\Delta \ln (\mathrm{Value\ of\ production})$",0.0855558377104275,0.0398987583679019,0.0328102856033159,0.316824472045926,0.120365430118754,0.00892268959041635,16.5132962335848,310
"A","chg_log_massal_85_54","$\Delta \ln (\mathrm{Wage\ mass})$",0.115957321097096,0.0375265050554649,0.00218980320179569,0.378406728138287,0.123749972188876,0.00243105209595402,17.0591499317005,309
"A","chg_log_nestab_85_54","$\Delta \ln (\mathrm{Establishments})$",0.0294796828172931,0.0179636444847012,0.101829838600206,0.0666446444576011,0.059586844853225,0.264271506291814,16.5132962335848,310
"A","chg_log_nexp_88_60","$\Delta \ln (\mathrm{Farms})$",-0.0101883028932862,0.0123464285832804,0.409942035634389,0.0961961448553769,0.0780051983892586,0.218509597349907,15.3024261192613,297
"A","chg_log_areatot_ha_88_60","$\Delta \ln (\mathrm{Farmed\ area})$",-0.000901918695426061,0.0179462164106472,0.959952738753379,0.102161018655399,0.0767135504922966,0.184008674690975,15.3024261192613,297
"B","chg_log_valprod_85_54","$\Delta \ln (\mathrm{Value\ of\ production})$",0.0733720928310735,0.0587746781325739,0.21287177448424,0.215443463501369,0.125013854985872,0.0858543887554816,108.353912810478,310
"B","chg_log_massal_85_54","$\Delta \ln (\mathrm{Wage\ mass})$",0.0687547798557428,0.0443211525307435,0.121890970041539,0.222215791470121,0.124866668484948,0.0761530517261837,121.570731067072,309
"B","chg_log_nestab_85_54","$\Delta \ln (\mathrm{Establishments})$",0.0033540643743323,0.0264161472310804,0.899049017605515,0.0471178279298972,0.0592579788238541,0.427166198761168,108.353912810478,310
"B","chg_log_nexp_88_60","$\Delta \ln (\mathrm{Farms})$",-0.028575986293436,0.0135404730110166,0.0356879529503427,0.0766246870755439,0.0779542708693393,0.326462863954352,125.743535355711,297
"B","chg_log_areatot_ha_88_60","$\Delta \ln (\mathrm{Farmed\ area})$",-0.0185500974680942,0.0125131639300563,0.13931868250681,0.0693794958941641,0.0725058527267878,0.339432492257711,125.743535355711,297
"C","chg_log_valprod_85_54","$\Delta \ln (\mathrm{Value\ of\ production})$",0.099797317558238,0.0413985713653659,0.0165254973799087,0.32282654639966,0.174806434772108,0.0657657977939836,15.9061922046113,310
"C","chg_log_massal_85_54","$\Delta \ln (\mathrm{Wage\ mass})$",0.128397979818576,0.0401974769585627,0.00155198205338492,0.470725423810413,0.187698526510529,0.0126754990198572,15.9118568994241,309
"C","chg_log_nestab_85_54","$\Delta \ln (\mathrm{Establishments})$",0.0385421847695136,0.0178568528001527,0.0316900045096929,0.0634076925284854,0.0831659319051033,0.446406086860439,15.9061922046113,310
"C","chg_log_nexp_88_60","$\Delta \ln (\mathrm{Farms})$",-0.00129847988236787,0.0132551928985814,0.922032363442757,0.0442913870129779,0.063185504190492,0.483887259835739,12.8688181589708,297
"C","chg_log_areatot_ha_88_60","$\Delta \ln (\mathrm{Farmed\ area})$",0.00567393361208748,0.0191908307078315,0.767704633370861,0.0871739836050033,0.0829729184699503,0.294311590580802,12.8688181589708,297
