"group","variable","label","mean","sd","min","max","n"
"Outcomes: population (1960--1991)","chg_log_pop_91_60","$\Delta \ln$ total population",1.02472271696117,0.538607859902824,0.0507986744928477,3.1038119620615,311
"","chg_log_urbpop_91_60","$\Delta \ln$ urban population",0.867916934263284,0.515039928234161,-0.0716637578377028,2.98745310148497,286
"","chg_log_rur_91_60","$\Delta \ln$ rural population",1.32857245998144,0.910694198883286,-1.11771714246768,6.33211523395267,272
"","chg_urbshr_91_60","$\Delta$ urban share",-0.0446155974138256,0.192617311188445,-0.706347596836342,0.832218356970832,311
"Outcomes: sectoral censuses","chg_log_nestab_85_54","$\Delta \ln$ mfg.\ establishments",-0.216345824000615,0.67539190657041,-2.43050179436524,4.24312369824745,310
"","chg_log_valprod_85_54","$\Delta \ln$ mfg.\ production value",3.88661493405421,1.37229027051953,-1.97102114114434,9.74640917752322,310
"","chg_log_massal_85_54","$\Delta \ln$ mfg.\ wage mass",3.52869313601429,1.37964690324641,-1.703443885989,7.20783171117461,309
"","chg_log_nexp_88_60","$\Delta \ln$ farms",-0.254443543854767,0.496602536554176,-3.35272974611993,2.29340018341697,297
"","chg_log_areatot_ha_88_60","$\Delta \ln$ farmed area",0.0765622264327925,0.655954582157501,-3.22214915021317,3.76437564292115,297
"Outcomes: IPUMS (1970--1991)","chg_college_91_70","$\Delta$ college share",0.00803737313599757,0.00809900817007354,-0.00800234159427332,0.0488977903208277,311
"","chg_secondary_91_70","$\Delta$ secondary share",0.076736393119867,0.0340091218223387,0.00562108602084736,0.239014751765076,311
"","chg_mig5_91_70","$\Delta$ recent-migrant share",0.117078209312207,0.0994730041310091,-0.0979600906405019,0.582995799579958,311
"","chg_empstat_emp_91_70","$\Delta$ employment rate",0.0611663165886225,0.0630275056191871,-0.354926648550883,0.289405860010852,311
"Placebo","chg_log_placebo_pop_60_47","$\Delta \ln$ population 1947--1960",-0.0871477701326767,0.573316306447668,-2.36654334365436,1.69023525549358,237
"Treatment and instruments","chg_logMA_86_60_s0_elow","$\Delta \ln \mathrm{MA}^{\mathrm{full}}$",1.51195356059022,2.45411735122235,-7.59218915401595,9.53143820964765,311
"","chg_logMA_stu_s0_elow","$\Delta \ln \mathrm{MA}$, Larkin instrument",-1.21765177748763,2.23095598570121,-12.578080038374,-3.50369190016409e-06,311
"","chg_logMA_lcp_mst_s0_elow","$\Delta \ln \mathrm{MA}$, hypothetical-road instrument",-0.467250612760174,2.43981266705585,-15.7316332464128,8.8472403923578,311
"Controls","logMA_actual_1960_s0_elow","Baseline $\ln \mathrm{MA}$ (1960)",-48.8036610937634,6.01781853512104,-62.8828849051646,-28.9151270462137,311
"","log_pop_1960","Baseline $\ln$ population (1960)",9.94692495021128,1.12048739491842,6.97447891102505,13.4051982210008,311
"","elev_mean_std","Elevation (std.)",0.00186751126577035,1.00106651411102,-0.601962051756587,5.20120677002224,311
"","rugged_mea_std","Ruggedness (std.)",0.00152586310426822,1.00124774487133,-0.587262460402814,5.6967896813164,311
"","wheat_std","Wheat suitability (std.)",0.00488747518329635,0.997872182126243,-1.67118016784132,2.82960324493968,311
"","preCal_std","Pre-1500 caloric potential (std.)",-0.00234713128373162,1.00075044141992,-1.891687917518,1.01032872457987,311
"","postCal_std","Post-1500 caloric potential (std.)",-0.00252630724527536,1.00061387548785,-2.01647320526809,1.05165239075275,311
"","dist_to_BA_std","Distance to Buenos Aires (std.)",0.00481826452125936,0.997977530320734,-1.52121445222332,3.78759695535546,311
